GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,SWPO,4234.430743107352,4136.6144491263685,3894.0522643697254,3724.8202749415595,3501.007435616227,92.21308748535806,94.2424971652937,98.7039311695355,105.28741838051964,102.81101053451431,45.92,43.89,39.45,35.38,34.05
AGO,AGO.11_1,SWPO,216.0387603358803,205.52741054917155,189.60899189627582,173.52325786873593,157.88582989550878,6.025263072543704,6.15786602009733,6.449379017757421,6.879548351228714,6.717738252966225,35.86,33.38,29.4,25.22,23.5
AGO,AGO.12_1,SWPO,19175.922763330203,17749.347799549963,15976.25766096766,14501.289686707865,13118.378520794702,74.75857979642623,76.40391750914479,80.02069988613566,85.35765946572754,83.35009325034403,256.5,232.3,199.7,169.9,157.4
AGO,AGO.13_1,SWPO,88948.62473889222,97130.195495404,102548.78567875433,111829.38508160424,123670.1023949533,2990.7275936344695,3056.5470092302885,3201.243756162048,3414.7646066308744,3334.4477939082008,29.74,31.78,32.03,32.75,37.09
AGO,AGO.14_1,SWPO,9059.244306644583,8971.049380785242,8622.376948272033,8508.94504494758,8633.157702336512,71.33797093492547,72.90796466043966,76.35942321151816,81.45254645589726,79.53674561071463,127,123,112.9,104.5,108.5
AGO,AGO.15_1,SWPO,10989.080527454718,10618.652544869174,10481.327568120047,10303.113009563232,10116.692164710355,6992.338017739073,7146.247199484567,7484.51812796597,7983.763274809432,7795.973326800488,1.572,1.486,1.4,1.291,1.298
AGO,AGO.16_1,SWPO,98.40315352610911,91.44731885754145,84.86519503825284,73.93769577364259,64.69108873440581,6.568135126316134,6.7126855081324655,7.030463626142608,7.499390920340235,7.3230018436485445,14.98,13.62,12.07,9.859,8.834
AGO,AGO.17_1,SWPO,12207.131260618664,11434.229322850095,10493.103251913411,9814.015199501482,9129.1439364225,69.42598832452916,71.00676240646584,74.2237969334081,78.86933657344368,77.08441427209769,175.8,161,141.4,124.4,118.4
AGO,AGO.18_1,SWPO,5484.32094143005,5253.264350286703,5212.99717354332,5150.1079890237515,4975.968783994111,28.792231122624734,29.456625653561904,30.76711240657388,32.641805269785216,31.914833610833522,190.5,178.3,169.4,157.8,155.9
AGO,AGO.1_1,SWPO,7298.419498131305,6354.1630258937485,5591.965856153345,5078.149876181817,4741.633333537938,54.05651008617809,55.246176410384486,57.861526994838215,61.720852742707756,60.26915028532791,135,115,96.64,82.28,78.67
