GID_0,commodity,area__ha,yield_mt_ha,production_mt,LD_2020_CO2e,LD_2021_CO2e,LD_2022_CO2e,LD_2023_CO2e,LD_2024_CO2e,LD_2020_CO2,LD_2021_CO2,LD_2022_CO2,LD_2023_CO2,LD_2024_CO2,LD_2020_CH4,LD_2021_CH4,LD_2022_CH4,LD_2023_CH4,LD_2024_CH4,LD_2020_N2O,LD_2021_N2O,LD_2022_N2O,LD_2023_N2O,LD_2024_N2O,EF_2020_CO2e,EF_2020_CO2,EF_2020_CH4,EF_2020_N2O,EF_2021_CO2e,EF_2021_CO2,EF_2021_CH4,EF_2021_N2O,EF_2022_CO2e,EF_2022_CO2,EF_2022_CH4,EF_2022_N2O,EF_2023_CO2e,EF_2023_CO2,EF_2023_CH4,EF_2023_N2O,EF_2024_CO2e,EF_2024_CO2,EF_2024_CH4,EF_2024_N2O
AGO,OILP,286.92443,10.08321917,2893.121913,780.7415689,809.8170433,784.6553246,786.3764487,753.1859563,779.2809447,808.4035634,783.3445218,785.1706982,752.0996727,0,0,0,0,0,1.460624182,1.413479926,1.310802771,1.205750574,1.086283697,0.269861275,0.269356414,0,0.000504861,0.279911137,0.279422571,0,0.000488566,0.271214055,0.270760979,0,0.000453076,0.271808957,0.271392192,0,0.000416765,0.26033675,0.259961279,0,0.000375471
BEN,OILP,131510.1566,17.92456581,2357262.457,392982.3062,465505.1375,519296.7572,551259.7742,595078.9399,392898.3209,465422.489,519217.5045,551186.242,595012.1979,11.40729641,10.347459,9.26532683,8.119789382,7.018071178,72.57801207,72.30102586,69.98735331,65.41239187,59.72389723,0.166711307,0.166675679,4.83921354575842e-06,3.07891095734956e-05,0.197477008,0.197441947,4.38960836446519e-06,3.06716062329993e-05,0.220296538,0.220262917,3.93054528317459e-06,2.96900979862873e-05,0.233855917,0.233824723,3.44458435669283e-06,2.77493037243231e-05,0.252444923,0.25241661,2.97721246868385e-06,2.5336125413657e-05
BLZ,OILP,49.1167385,13.82363714,678.9719705,394.2770833,375.9559818,385.8457825,401.9284,385.0397208,389.4999697,371.7113939,382.0751798,397.9621082,379.8850531,2.460279839,2.186213212,1.92545596,2.219700763,3.286249259,2.316833783,2.058374708,1.845146703,1.746591054,1.868418402,0.580697143,0.573661339,0.003623537,0.003412267,0.553713552,0.54746206,0.003219887,0.003031605,0.568279398,0.562725998,0.00283584,0.002717559,0.591966116,0.586124502,0.003269208,0.002572405,0.567092218,0.559500347,0.004840037,0.002751834
BRA,OILP,259574.8547,7.485541095,1943058.242,2104406.089,1903263.174,1863253.192,1782134.725,1779202.879,2096079.276,1895402.467,1854609.375,1773130.244,1769560.181,5333.612953,5079.893096,5801.28969,6209.256444,6871.99272,2993.20035,2780.814109,2842.526714,2795.22465,2770.705646,1.083038091,1.078752675,0.002744958,0.001540458,0.979519364,0.975473831,0.00261438,0.001431153,0.958928122,0.95447956,0.002985649,0.001462914,0.917180291,0.912546112,0.00319561,0.00143857,0.915671409,0.91070877,0.003536689,0.001425951
BRN,OILP,474.4737694,15.72590194,7461.52797,9586.389757,8644.468423,7551.301893,6473.132521,5590.234719,9553.873289,8615.774279,7526.168456,6451.573567,5570.950268,15.64912865,13.55889776,11.75857537,9.958252987,9.140765641,16.86733905,15.13524698,13.37486207,11.60070063,10.14368547,1.284775691,1.280417808,0.002097309,0.002260574,1.158538634,1.154693022,0.001817174,0.002028438,1.012031574,1.00866317,0.001575894,0.00179251,0.867534444,0.864645096,0.001334613,0.001554735,0.749207768,0.746623251,0.001225053,0.001359465
CAF,OILP,2343.976992,7.78167787,18240.07388,17621.24396,16123.212,14777.9557,13369.82543,12437.59849,17594.37546,16098.54454,14755.41526,13349.42306,12419.28103,0.723477258,0.623739324,0.537780456,0.45541693,0.376648744,26.14502489,24.04371764,22.00266415,19.94695034,17.94080872,0.966073058,0.96460001,3.96641626721971e-05,0.001433384,0.883944446,0.882592069,3.4196096331082e-05,0.001318181,0.810191658,0.808955893,2.94834582318188e-05,0.001206282,0.732991846,0.7318733,2.49679323037544e-05,0.001093578,0.68188312,0.680878877,2.0649518546889e-05,0.000983593
CIV,OILP,417381.1043,6.367306219,2657593.301,4321676.631,4407584.474,4426367.784,4463541.444,4431596.415,4318443.603,4404588.857,4423588.723,4460994.843,4429315.026,535.7258684,496.1483838,476.6448008,447.8661703,407.7181032,2697.302468,2499.468425,2302.416082,2098.734597,1873.670753,1.626161772,1.624945247,0.000201583,0.001014942,1.6584872,1.657360009,0.000186691,0.000940501,1.66555499,1.664509284,0.000179352,0.000866354,1.679542706,1.67858447,0.000168523,0.000789712,1.667522421,1.666663979,0.000153416,0.000705025
CMR,OILP,122232.6684,10.04271898,1227548.34,921980.7436,947947.9049,936236.5726,925302.2454,916823.334,921114.0268,947148.5411,935512.0438,924652.6573,916262.7583,235.3619761,218.4668043,198.9225066,183.0069255,158.2958879,631.3548674,580.8969534,525.6063276,466.5811534,402.2797876,0.751074898,0.750368843,0.000191733,0.000514322,0.772228575,0.771577388,0.00017797,0.000473217,0.76268815,0.762097926,0.000162049,0.000428176,0.753780699,0.753251524,0.000149083,0.000380092,0.746873507,0.746416845,0.000128953,0.00032771
COD,OILP,72475.53031,6.687429442,484674.9952,1349065.118,1308176.975,1305172.186,1290424.071,1275260.031,1347116.726,1306351.234,1303323.211,1288616.985,1273353.64,1030.038186,973.948602,1029.29823,1035.064201,1157.903513,918.3541521,851.7920716,819.6769839,772.0217114,748.4879464,2.783442784,2.779422786,0.002125214,0.001894783,2.699080803,2.695313865,0.002009488,0.00175745,2.692881207,2.689066331,0.002123688,0.001691189,2.662452331,2.658723883,0.002135584,0.001592865,2.631165304,2.627231964,0.002389031,0.001544309
COG,OILP,2192.303314,11.59899207,25428.50875,12641.78118,13755.87091,12958.60838,13609.33228,12744.00435,12532.82994,13653.86716,12862.70656,13518.44254,12660.01476,77.28499513,72.60971399,68.57460683,65.28732419,60.49279112,31.66624801,29.39403606,27.32720924,25.60241612,23.49680246,0.497149924,0.492865314,0.003039305,0.001245305,0.540962549,0.536951155,0.002855445,0.001155948,0.509609451,0.505838022,0.002696761,0.001074668,0.53519978,0.531625455,0.002567485,0.001006839,0.501169946,0.497866976,0.002378936,0.000924034
COL,OILP,456303.616,14.61716335,6669864.492,1896629.454,1843243.153,1803172.824,1771819.059,1805740.548,1883653.894,1831132.131,1792023.41,1761719.078,1796692.763,6396.885484,5981.274332,5533.632328,5032.327475,4577.687528,6578.674973,6129.74786,5615.782275,5067.654203,4470.098187,0.284358019,0.282412618,0.000959073,0.000986328,0.276353913,0.274538131,0.000896761,0.000919021,0.270346246,0.268674635,0.000829647,0.000841963,0.265645436,0.264131165,0.000754487,0.000759784,0.27073122,0.269374702,0.000686324,0.000670193
CRI,OILP,86190.94854,13.84013933,1192894.737,445906.7014,436169.4805,417034.1438,417291.5881,412522.1004,440319.5581,430705.3277,411855.3759,411858.2938,407314.8917,3522.697154,3514.922847,3380.375414,3707.202718,3637.69018,2064.446184,1949.229958,1798.392444,1726.09151,1569.518474,0.37380222,0.369118535,0.002953066,0.001730619,0.365639538,0.361058955,0.002946549,0.001634033,0.349598444,0.345257099,0.002833758,0.001507587,0.349814259,0.345259545,0.003107737,0.001446977,0.345816012,0.341450825,0.003049465,0.001315723
ECU,OILP,42433.73144,13.7389717,582995.8353,372399.4687,341737.5673,314254.0055,296631.8883,276182.0375,370607.3598,340105.4161,312762.3401,295272.5818,274957.2859,900.6176804,836.0977239,777.8983169,725.8106586,671.5453798,891.4912486,796.0534784,713.7671377,633.4958074,553.2062376,0.63876866,0.635694695,0.00154481,0.001529155,0.586174972,0.583375379,0.00143414,0.001365453,0.53903302,0.536474398,0.001334312,0.001224309,0.508806188,0.506474599,0.001244967,0.001086621,0.473729006,0.471628216,0.001151887,0.000948903
GAB,OILP,21673.25015,3.274671078,70972.76543,18531.92965,16804.7633,19949.76077,19324.85278,23392.5814,18465.58838,16746.18064,19896.51941,19278.4264,23353.14566,5.85219787,5.184461408,4.522233567,3.865514346,3.208795125,60.48906857,53.39819195,48.719118,42.56086265,36.22694593,0.261113253,0.26017851,8.24569514031504e-05,0.000852286,0.236777631,0.235952207,7.30486035986203e-05,0.000752376,0.281090368,0.280340202,6.37178717700954e-05,0.000686448,0.27228547,0.271631326,5.44647559175762e-05,0.000599679,0.329599407,0.329043761,4.52116400650568e-05,0.000510434
GHA,OILP,85091.66259,7.469250265,635570.9233,1101697.286,1109120.218,1173289.726,1225253.637,1237447.357,1100724.976,1108209.813,1172445.715,1224479.615,1236750.622,43.75108843,43.9214116,39.2608571,35.96438701,32.38736168,928.5588657,866.4836611,804.7503556,738.0577456,664.3469325,1.733397873,1.731868051,6.88374606551062e-05,0.001460984,1.745077028,1.743644607,6.91054451887322e-05,0.001363315,1.846040596,1.844712638,6.17725821887831e-05,0.001266185,1.927800018,1.92658218,5.65859539723364e-05,0.001161252,1.946985476,1.945889242,5.09579033533351e-05,0.001045276
GIN,OILP,6589.719241,5.956141958,39249.30326,38312.323,35426.12185,33879.97884,31109.33156,28439.40323,38249.54129,35369.41784,33828.12856,31062.78816,28398.1881,11.56285645,10.37736718,9.656133389,8.627050979,7.597968569,51.21885236,46.32663854,42.19414747,37.91634323,33.61716441,0.976127468,0.974527905,0.0002946,0.001304962,0.902592375,0.901147661,0.000264396,0.001180317,0.863199497,0.861878448,0.000246021,0.001075029,0.792608504,0.791422664,0.000219801,0.000966039,0.724583645,0.72353356,0.000193582,0.000856503
GTM,OILP,193068.5522,20.09550677,3879810.399,1309431.674,1214673.246,1103334.358,1006435.447,930793.8882,1300803.978,1206773.227,1095999.575,999389.105,923245.7306,5665.6662,5201.228115,4875.553158,4766.049589,5272.106226,2962.029964,2698.790914,2459.230129,2280.29196,2276.051357,0.337498883,0.335275141,0.001460295,0.000763447,0.313075414,0.311039227,0.001340588,0.000695599,0.284378422,0.282487921,0.001256647,0.000633853,0.259403255,0.257587099,0.001228423,0.000587733,0.239907055,0.237961559,0.001358857,0.00058664
HND,OILP,233803.3657,9.788904483,2288678.814,688646.5772,719952.9361,769517.1499,819783.5274,881065.6319,683154.4049,713885.3781,763332.4777,813269.7721,874156.5692,3672.275892,4157.82079,4301.386005,4604.590674,4965.731401,1819.896444,1909.737218,1883.286247,1909.164593,1943.331252,0.300892625,0.298492912,0.00160454,0.000795173,0.314571416,0.311920298,0.00181669,0.000834428,0.336227672,0.333525383,0.001879419,0.00082287,0.358190727,0.35534465,0.002011899,0.000834178,0.384966919,0.381948119,0.002169693,0.000849106
IDN,OILP,18707241.13,13.05538286,244230195.1,339077177.1,310266743.3,279876232.4,253384949.5,226577904.5,334840178.5,306565260.6,276697914.2,250707902.1,224377580.5,2693897.929,2351610.502,2017295.064,1698432.016,1395864.199,1543100.687,1349872.158,1161023.216,978615.4047,804459.8052,1.38835076,1.371002379,0.011030159,0.006318222,1.270386502,1.255230789,0.009628664,0.005527049,1.145952622,1.132939005,0.00825981,0.004753807,1.037484122,1.026522957,0.006954226,0.004006939,0.927722734,0.918713513,0.005715363,0.003293859
KHM,OILP,18958.1373,10.76239273,204034.919,219676.9507,196322.9574,174387.8801,151623.8046,128478.1531,219278.5487,195962.3141,174067.9589,151342.7954,128239.1046,163.3507807,149.4650516,133.015988,118.2149847,100.155289,235.0512072,211.1781737,186.9051484,162.7942041,138.8932065,1.076663503,1.074710886,0.000800602,0.001152015,0.962202736,0.96043518,0.000732546,0.00103501,0.854696249,0.853128277,0.000651928,0.000916045,0.743126742,0.741749482,0.000579386,0.000797874,0.629687083,0.628515477,0.000490873,0.000680733
LAO,OILP,65.00869574,6.255660887,406.6723552,829.1263864,724.5526348,617.050609,509.9083214,405.0692367,826.2316501,722.0505799,614.9436918,508.1948427,403.7406941,0,0,0,0,0,2.894736241,2.502054993,2.106917165,1.713478722,1.328542564,2.038806857,2.031688753,0,0.007118104,1.781661885,1.775509376,0,0.006152508,1.517316338,1.512135467,0,0.005180871,1.253855382,1.249641969,0,0.004213413,0.99605796,0.992791098,0,0.003266862
LBR,OILP,43594.15109,9.797075989,427095.2109,1040552.511,964415.0164,890456.6166,816930.3316,744692.2159,1039161.844,963133.0627,889276.4951,815852.3099,743720.318,503.6484404,463.781476,427.9293934,392.5157871,354.6401581,887.0184799,818.1722843,752.1921657,685.505931,617.2577412,2.436347878,2.433091773,0.001179242,0.002076864,2.258079678,2.255078114,0.001085897,0.001915667,2.084913607,2.082150472,0.001001953,0.001761181,1.912759288,1.91023521,0.000919036,0.001605042,1.743621087,1.741345487,0.000830354,0.001445246
MEX,OILP,96991.73527,18.48848742,1793230.478,370263.7839,346810.9784,324678.6046,310490.6061,294556.8047,367274.2237,343966.9721,321973.014,307883.4663,291890.415,1842.691331,1787.954206,1736.8942,1713.789239,1822.663981,1146.868932,1056.052018,968.6964513,893.3506189,843.7257702,0.206478637,0.2048115,0.001027582,0.000639555,0.193400114,0.191814146,0.000997058,0.00058891,0.181057934,0.179549153,0.000968584,0.000540196,0.173145956,0.171692078,0.000955699,0.000498179,0.164260427,0.162773508,0.001016414,0.000470506
MMR,OILP,57535.83449,12.61644753,725897.837,757836.1239,671970.0168,588768.1055,514537.0261,447196.3035,756975.47,671204.9721,588094.89,513946.9976,446686.8736,114.8705681,103.6296333,93.14998101,85.06553816,76.30487129,745.7832793,661.4150058,580.0655598,504.9629113,433.1250603,1.043998322,1.042812682,0.000158246,0.001027394,0.925708802,0.924654873,0.000142761,0.000911168,0.811089489,0.810162064,0.000128324,0.000799101,0.708828433,0.708015607,0.000117187,0.000695639,0.616059562,0.615357769,0.000105118,0.000596675
