GID_0,GID_1,GID_2,commodity,area__ha,yield_mt_ha,production_mt,LD_2020_CO2e,LD_2021_CO2e,LD_2022_CO2e,LD_2023_CO2e,LD_2024_CO2e,LD_2020_CO2,LD_2021_CO2,LD_2022_CO2,LD_2023_CO2,LD_2024_CO2,LD_2020_CH4,LD_2021_CH4,LD_2022_CH4,LD_2023_CH4,LD_2024_CH4,LD_2020_N2O,LD_2021_N2O,LD_2022_N2O,LD_2023_N2O,LD_2024_N2O,EF_2020_CO2e,EF_2020_CO2,EF_2020_CH4,EF_2020_N2O,EF_2021_CO2e,EF_2021_CO2,EF_2021_CH4,EF_2021_N2O,EF_2022_CO2e,EF_2022_CO2,EF_2022_CH4,EF_2022_N2O,EF_2023_CO2e,EF_2023_CO2,EF_2023_CH4,EF_2023_N2O,EF_2024_CO2e,EF_2024_CO2,EF_2024_CH4,EF_2024_N2O
CIV,CIV.1_1,CIV.1.1_1,COCO,1935.097273,0.5,967.5486363,17173.39006,16680.40005,16484.77473,18781.6664,20471.30444,17133.63452,16643.55539,16450.82199,18750.14511,20442.21864,7.992732437,7.447968655,6.883981072,6.426067209,6.365956253,31.76279941,29.39668715,27.0687511,25.09522402,22.71985051,17.7493817,17.70829277,0.008260807,0.032828117,17.23985692,17.2017765,0.007697772,0.030382645,17.03767036,17.00257887,0.007114868,0.027976631,19.41159927,19.37902076,0.006641596,0.025936912,21.15790739,21.12784606,0.006579469,0.023481869
CIV,CIV.11_1,CIV.11.1_1,COCO,832.4735824,0.480914929,400.348974,895.2595164,939.754451,1421.589139,1672.446639,1809.202272,892.6891218,937.4445619,1419.390087,1670.49642,1807.563477,0.071457987,0.063936093,0.0564142,0.048892307,0.041370413,2.498936619,2.245952954,2.142637568,1.901326465,1.597424966,2.236197854,2.229777469,0.000178489,0.006241896,2.347338227,2.341568538,0.000159701,0.005609988,3.550874939,3.545382102,0.000140913,0.005351925,4.177472023,4.172600726,0.000122124,0.004749173,4.519063092,4.514969674,0.000103336,0.003990081
CIV,CIV.11_1,CIV.11.2_1,COCO,9.066363887,0.497257146,4.508314234,3.806952332,3.407634311,3.008316291,28.74792989,35.37554556,3.792559672,3.394934906,2.997310139,28.72297042,35.35308174,0,0,0,0,0,0.01439266,0.012699406,0.011006151,0.024959464,0.022463822,0.844429233,0.841236763,0,0.00319247,0.755855545,0.753038659,0,0.002816886,0.667281856,0.664840555,0,0.002441301,6.376647322,6.371111004,0,0.005536319,7.846734662,7.841751907,0,0.004982754
CIV,CIV.12_1,CIV.12.1_1,COCO,4044.298413,0.447436471,1809.566611,11739.62192,10248.18781,9166.124542,8108.857907,6980.565137,11696.00437,10211.72689,9136.232609,8084.735918,6961.221754,0.486445123,0.385946798,0.291477436,0.2101085,0.147164816,43.13110259,36.07497261,29.60045575,23.91187997,19.19621854,6.487532347,6.463428483,0.000268819,0.023835046,5.663338251,5.643189272,0.000213281,0.019935698,5.065370065,5.04885123,0.000161076,0.01635776,4.481104955,4.467774698,0.00011611,0.013214147,3.857589488,3.846899977,8.13E-05,0.010608186
CIV,CIV.12_1,CIV.12.2_1,COCO,912.8089997,0.467355432,426.6062442,2187.14988,2012.740479,1822.606571,1606.629597,1461.134154,2176.950366,2003.694429,1814.682733,1599.780462,1455.320461,0.011499036,0.008213597,0.004928158,0.001642719,0,10.18801453,9.037835601,7.918909712,6.847492181,5.813693137,5.126858572,5.102950076,2.70E-05,0.023881541,4.718028641,4.69682396,1.93E-05,0.021185427,4.272339179,4.253765054,1.16E-05,0.018562573,3.766071451,3.750016518,3.85E-06,0.016051083,3.425018209,3.411390436,0,0.013627773
CIV,CIV.12_1,CIV.12.3_1,COCO,30770.8204,0.500834012,15411.07342,95194.19714,82184.13242,77952.49948,70240.56169,64437.3573,94796.94015,81855.70652,77683.69975,70027.65304,64274.86109,2.204945671,1.542245007,0.994594821,0.516251058,0.232010762,395.0520396,326.8836565,267.8051393,212.3924026,162.2642059,6.17699978,6.151222407,0.000143075,0.025634297,5.332797409,5.311486375,0.000100074,0.02121096,5.05821349,5.040771503,6.45E-05,0.017377449,4.557798134,4.543982831,3.35E-05,0.013781805,4.181237447,4.170693327,1.51E-05,0.010529066
CIV,CIV.13_1,CIV.13.1_1,COCO,13937.79948,0.481398617,6709.637391,31788.1715,33162.09808,39136.77325,45324.2458,58578.33964,31731.39591,33108.49203,39085.59007,45276.57975,58535.47597,0.158448542,0.134521305,0.110594069,0.086666832,0.062739596,56.61714597,53.47152992,51.07258131,47.57938769,42.80093278,4.73768844,4.729226642,2.36E-05,0.008438183,4.942457564,4.934468153,2.00E-05,0.007969362,5.832919272,5.825290965,1.65E-05,0.007611824,6.755096165,6.747992047,1.29E-05,0.007091201,8.730477704,8.72408933,9.35E-06,0.006379023
CIV,CIV.14_1,CIV.14.1_1,COCO,4.111668826,0.402075985,1.653203293,14.31568625,13.2498958,12.25520707,11.33162006,20.38389124,14.29131035,13.22781432,12.23506366,11.31305838,20.36691128,0,0,0,0,0,0.024375904,0.022081481,0.020143406,0.018561679,0.016979953,8.65936229,8.64461764,0,0.01474465,8.014680262,8.001323477,0,0.013356785,7.413006689,7.400822219,0,0.01218447,6.854341571,6.843113866,0,0.011227705,12.32993626,12.31966532,0,0.010270941
CIV,CIV.14_1,CIV.14.2_1,COCO,39511.2686,0.650868503,25716.64024,177430.6235,171372.2881,179114.6431,189777.9475,194832.2213,177154.0331,171119.3689,178879.6082,189560.9883,194636.8991,1.234380765,1.076805417,0.96394347,1.193875916,1.076168099,275.3560771,251.8423922,234.0709238,215.7652559,194.2459781,6.899448055,6.888692745,4.80E-05,0.010707311,6.663867695,6.654032849,4.19E-05,0.009792974,6.964931709,6.955792301,3.75E-05,0.009101925,7.379577802,7.371141275,4.64E-05,0.008390103,7.576114898,7.568519733,4.18E-05,0.007553319
CIV,CIV.2_1,CIV.2.1_1,COCO,321410.4303,0.488759948,157092.545,1647521.558,1590184.631,1538999.379,1594420.932,1564995.381,1643988.612,1587256.105,1536576.286,1592400.245,1563315.3,91.62618583,60.53373527,43.87224425,34.84590589,26.92751841,3441.319502,2867.992339,2379.219878,1985.840938,1653.153438,10.48758589,10.4650963,0.000583262,0.02190632,10.12259768,10.10395563,0.000385338,0.018256706,9.796769021,9.781344405,0.000279276,0.015145339,10.14956458,10.13670155,0.000221818,0.012641217,9.962251108,9.951556259,0.000171412,0.010523437
