GID_0,GID_1,area__ha,commodity,yield_mt_ha,production_mt,LD_2020_CO2e,LD_2021_CO2e,LD_2022_CO2e,LD_2023_CO2e,LD_2024_CO2e,LD_2020_CO2,LD_2021_CO2,LD_2022_CO2,LD_2023_CO2,LD_2024_CO2,LD_2020_CH4,LD_2021_CH4,LD_2022_CH4,LD_2023_CH4,LD_2024_CH4,LD_2020_N2O,LD_2021_N2O,LD_2022_N2O,LD_2023_N2O,LD_2024_N2O,EF_2020_CO2e,EF_2020_CO2,EF_2020_CH4,EF_2020_N2O,EF_2021_CO2e,EF_2021_CO2,EF_2021_CH4,EF_2021_N2O,EF_2022_CO2e,EF_2022_CO2,EF_2022_CH4,EF_2022_N2O,EF_2023_CO2e,EF_2023_CO2,EF_2023_CH4,EF_2023_N2O,EF_2024_CO2e,EF_2024_CO2,EF_2024_CH4,EF_2024_N2O
CIV,CIV.1_1,1935.097273,COCO,0.5,967.5486363,17173.39006,16680.40005,16484.77473,18781.6664,20471.30444,17133.63452,16643.55539,16450.82199,18750.14511,20442.21864,7.992732437,7.447968655,6.883981072,6.426067209,6.365956253,31.76279941,29.39668715,27.0687511,25.09522402,22.71985051,17.7493817,17.70829277,0.008260807,0.032828117,17.23985692,17.2017765,0.007697772,0.030382645,17.03767036,17.00257887,0.007114868,0.027976631,19.41159927,19.37902076,0.006641596,0.025936912,21.15790739,21.12784606,0.006579469,0.023481869
CIV,CIV.11_1,841.5399463,COCO,0.489086038,411.585438,899.0664688,943.1620853,1424.597455,1701.194568,1844.577818,896.4816815,940.8394969,1422.387397,1699.21939,1842.916559,0.071457987,0.063936093,0.0564142,0.048892307,0.041370413,2.513329279,2.25865236,2.15364372,1.926285929,1.619888787,2.184398149,2.178118074,0.000173616,0.006106458,2.291534147,2.285891118,0.000155341,0.005487688,3.461243581,3.45587396,0.000137066,0.005232556,4.133272005,4.128473054,0.00011879,0.004680161,4.481640135,4.477603891,0.000100515,0.003935729
CIV,CIV.12_1,35727.92781,COCO,0.471875305,16859.12683,109120.9689,94445.0607,88941.2306,79956.0492,72879.05659,108669.8949,94071.12783,88634.61509,79712.16942,72691.4033,2.70288983,1.936405402,1.291000415,0.728002277,0.379175578,448.3711567,371.9964647,305.3245048,243.1517748,187.2741175,6.472516046,6.445760565,0.000160322,0.026595159,5.602013772,5.579833924,0.000114858,0.02206499,5.275553798,5.257366884,7.66E-05,0.018110339,4.742597288,4.728131546,4.32E-05,0.01442256,4.322825098,4.311694433,2.25E-05,0.011108174
CIV,CIV.13_1,13937.79948,COCO,0.481398617,6709.637391,31788.1715,33162.09808,39136.77325,45324.2458,58578.33964,31731.39591,33108.49203,39085.59007,45276.57975,58535.47597,0.158448542,0.134521305,0.110594069,0.086666832,0.062739596,56.61714597,53.47152992,51.07258131,47.57938769,42.80093278,4.73768844,4.729226642,2.36E-05,0.008438183,4.942457564,4.934468153,2.00E-05,0.007969362,5.832919272,5.825290965,1.65E-05,0.007611824,6.755096165,6.747992047,1.29E-05,0.007091201,8.730477704,8.72408933,9.35E-06,0.006379023
CIV,CIV.14_1,39515.38027,COCO,0.526472244,20803.75092,177444.9392,171385.538,179126.8983,189789.2791,194852.6052,177168.3244,171132.5968,178891.8433,189572.3014,194657.2661,1.234380765,1.076805417,0.96394347,1.193875916,1.076168099,275.380453,251.8644737,234.0910672,215.7838176,194.262958,8.52946855,8.516172158,5.93E-05,0.013237058,8.238203711,8.226045265,5.18E-05,0.012106686,8.610317388,8.599018704,4.63E-05,0.011252349,9.122839425,9.112409686,5.74E-05,0.010372352,9.366224673,9.356835063,5.17E-05,0.009337881
CIV,CIV.2_1,1245936.679,COCO,0.489737071,610181.3792,6209748.192,6089312.645,5992932.531,6040969.728,6125413.278,6199415.874,6080331.954,5985118.456,6034167.415,6119555.727,272.181832,210.4869631,171.3400264,149.2891917,131.0727186,10060.13621,8770.204309,7642.735573,6653.023943,5726.477998,10.17688904,10.15995585,0.000446067,0.016487124,9.979512408,9.96479434,0.000344958,0.01437311,9.821559188,9.808753036,0.000280802,0.01252535,9.900285282,9.889137264,0.000244664,0.010903355,10.03867618,10.02907649,0.000214809,0.009384878
CIV,CIV.3_1,385966.1116,COCO,0.490435726,189291.5703,2097845.861,2053453.271,2100457.527,2177957.4,2294191.502,2094403.505,2050365.825,2097681.852,2175485.52,2292032.685,47.88039642,42.98555401,39.8265004,35.99705494,35.46430985,3394.47542,3044.459844,2735.847988,2435.883576,2123.352824,11.0826164,11.06443093,0.000252945,0.017932523,10.84809676,10.83178623,0.000227086,0.016083441,11.09641345,11.08174996,0.000210398,0.014453089,11.50583408,11.49277549,0.000190167,0.012868421,12.11988203,12.10847732,0.000187353,0.011217366
CIV,CIV.4_1,15.442747,COCO,0.499470228,7.713192371,97.91090567,90.38547244,82.86003922,75.33460599,67.80917276,97.46831066,89.97702254,82.48573441,74.99444629,67.50315817,0,0,0,0,0,0.442595016,0.408449908,0.374304801,0.340159694,0.306014586,12.69395355,12.63657199,0,0.057381561,11.71829615,11.66534143,0,0.052954716,10.74263875,10.69411087,0,0.048527871,9.766981343,9.722880318,0,0.044101026,8.791323941,8.751649761,0,0.03967418
CIV,CIV.5_1,638289.1076,COCO,0.5007159,319601.5048,2889422.63,2966690.26,3026897.347,3095817.141,3205342.751,2884710.565,2962344.054,3022914.603,3092198.184,3202104.905,37.10113166,30.43192766,26.74614837,22.93481195,21.30558651,4674.963067,4315.773782,3955.998299,3596.021929,3216.540359,9.040704083,9.025960522,0.000116086,0.014627475,9.282466494,9.268867666,9.52E-05,0.013503609,9.470848232,9.458386638,8.37E-05,0.012377909,9.686491128,9.675167787,7.18E-05,0.01125158,10.02918542,10.01905453,6.67E-05,0.010064222
CIV,CIV.6_1,174844.8467,COCO,0.483674193,84567.94018,988111.9299,993856.6576,1001634.262,1070976.446,1096857.484,986455.6499,992322.1396,1000222.988,1069688.153,1095710.014,19.69157408,17.80908531,15.98105229,14.17348592,12.42534519,1636.588391,1516.708944,1395.292538,1274.119529,1135.044177,11.68423788,11.66465268,0.000232849,0.01935235,11.7521682,11.73402282,0.000210589,0.017934798,11.84413691,11.82744887,0.000188973,0.016499072,12.66409521,12.64886138,0.000167599,0.015066224,12.97013361,12.956565,0.000146927,0.013421684
