GID_0,GID_1,GID_2,commodity,area__ha,yield_mt_ha,production_mt,LD_2020_CO2e,LD_2021_CO2e,LD_2022_CO2e,LD_2023_CO2e,LD_2024_CO2e,LD_2020_CO2,LD_2021_CO2,LD_2022_CO2,LD_2023_CO2,LD_2024_CO2,LD_2020_CH4,LD_2021_CH4,LD_2022_CH4,LD_2023_CH4,LD_2024_CH4,LD_2020_N2O,LD_2021_N2O,LD_2022_N2O,LD_2023_N2O,LD_2024_N2O,EF_2020_CO2e,EF_2020_CO2,EF_2020_CH4,EF_2020_N2O,EF_2021_CO2e,EF_2021_CO2,EF_2021_CH4,EF_2021_N2O,EF_2022_CO2e,EF_2022_CO2,EF_2022_CH4,EF_2022_N2O,EF_2023_CO2e,EF_2023_CO2,EF_2023_CH4,EF_2023_N2O,EF_2024_CO2e,EF_2024_CO2,EF_2024_CH4,EF_2024_N2O
AGO,AGO.4_1,AGO.4.1_1,OILP,16.64142679,13.91348089,231.5401736,314.3394284,381.741585,361.1053339,345.2256279,324.0274177,313.6910539,381.0681961,360.4796732,344.6479441,323.5002288,0,0,0,0,0,0.648374518,0.673388859,0.625660716,0.577683833,0.527188929,1.357602111,1.354801843,0,0.002800268,1.648705618,1.645797316,0,0.002908302,1.559579611,1.556877442,0,0.002702169,1.490996671,1.488501709,0,0.002494962,1.399443616,1.397166737,0,0.002276879
BEN,BEN.10_1,BEN.10.1_1,OILP,389.9159069,15.00625239,5851.17651,331.5302373,432.7134086,412.1991284,515.5771897,488.6691701,330.9689045,432.121438,411.6471726,515.0356711,488.172708,0,0,0,0,0,0.561332813,0.59197059,0.551955824,0.54151854,0.496462051,0.05666044,0.056564505,0,9.59350332765948e-05,0.073953231,0.07385206,0,0.000101171,0.070447222,0.070352889,0,9.43324515166915e-05,0.088115132,0.088022583,0,9.25486591510422e-05,0.083516395,0.083431547,0,8.48482438452993e-05
BEN,BEN.10_1,BEN.10.2_1,OILP,11574.11773,19.72821849,228336.7234,30149.10178,31221.27821,34083.50089,36778.00012,39862.49598,30136.75192,31209.18692,34071.70363,36766.76789,39852.12516,0.196286899,0.179218473,0.162150047,0.145081621,0.128013195,12.15357642,11.91207382,11.63511678,11.08715739,10.24280423,0.132037901,0.131983815,8.59637889482925e-07,5.32265517437899e-05,0.136733495,0.136680541,7.84886768658323e-07,5.21688918022814e-05,0.149268591,0.149216925,7.1013564783372e-07,5.09559592922998e-05,0.161069142,0.16101995,6.35384527009117e-07,4.85561727516818e-05,0.174577682,0.174532263,5.60633406184515e-07,4.48583306133053e-05
BEN,BEN.10_1,BEN.10.4_1,OILP,572.1639261,19.89202572,11381.49954,594.7251811,630.3740485,713.1525427,696.0926308,667.1439092,594.7086723,630.3438935,713.1245115,696.0667235,667.1201258,0,0,0,0,0,0.016508715,0.030154983,0.028031118,0.025907254,0.023783389,0.052253675,0.052252225,0,1.45048678960272e-06,0.055385852,0.055383202,0,2.64947362671155e-06,0.062658926,0.062656464,0,2.46286688753874e-06,0.06116001,0.061157734,0,2.27626014836594e-06,0.058616521,0.058614432,0,2.08965340919313e-06
BEN,BEN.10_1,BEN.10.5_1,OILP,61.15305207,18.49484436,1131.01618,30.42312001,27.61651608,24.80991214,22.0033082,19.19670427,30.36618692,27.56453369,24.76288045,21.96122722,19.15957399,0,0,0,0,0,0.056933093,0.051982389,0.047031686,0.042080982,0.037130278,0.026898926,0.026848588,0,5.03380004763892e-05,0.024417437,0.024371476,0,4.59607830436598e-05,0.021935948,0.021894364,0,4.15835656109302e-05,0.019454459,0.019417253,0,3.72063481782007e-05,0.016972971,0.016940141,0,3.28291307454712e-05
BEN,BEN.10_1,BEN.10.6_1,OILP,6772.930132,17.35879592,117569.912,18273.04634,18532.39113,19084.84884,22925.96104,26900.85341,18266.49215,18525.88836,19078.51723,22919.97795,26895.33336,0.550960194,0.503050612,0.45514103,0.407231448,0.359321866,6.003222859,5.99971519,5.87647031,5.575857981,5.160725181,0.155422812,0.155367065,4.68623464246327e-06,5.10608773834647e-05,0.157628689,0.15757338,4.27873597790126e-06,5.10310426330618e-05,0.162327661,0.162273807,3.87123731333923e-06,4.99827737487045e-05,0.194998539,0.194947649,3.46373864877721e-06,4.74258922798813e-05,0.228807294,0.228760343,3.05623998421518e-06,4.38949480752497e-05
BEN,BEN.10_1,BEN.10.7_1,OILP,83.77358428,20.27053607,1698.135462,186.9379664,244.0830732,235.4143868,237.7048996,259.7770636,186.8653864,244.0151758,235.351172,237.6463673,259.7232139,0,0,0,0,0,0.072580038,0.067897455,0.063214872,0.058532289,0.053849706,0.110084249,0.110041508,0,4.27410179726874e-05,0.143735926,0.143695943,0,3.99835329421914e-05,0.1386311,0.138593874,0,3.72260479116955e-05,0.13997994,0.139945471,0,3.44685628811995e-05,0.152977822,0.15294611,0,3.17110778507035e-05
BEN,BEN.10_1,BEN.10.9_1,OILP,55.81668516,12.25323285,683.9348401,229.4735101,215.0691675,273.1271419,272.177302,311.9008753,229.1966261,214.8094839,272.8527614,271.9176277,311.6602489,0,0,0,0,0,0.276883964,0.259683577,0.274380514,0.259674325,0.240626384,0.33551955,0.335114711,0,0.00040484,0.314458564,0.314078873,0,0.000379691,0.39934673,0.398945551,0,0.000401179,0.397957943,0.397578266,0,0.000379677,0.456038875,0.455687049,0,0.000351826
BEN,BEN.11_1,BEN.11.1_1,OILP,21189.69746,18.22802393,386246.3123,73444.53408,86469.07684,93305.62962,100153.2683,115333.9484,73432.67545,86457.92757,93295.3391,100144.0898,115325.9392,3.112686637,2.736176171,2.364563115,1.992950059,1.631846799,8.745943187,8.413089809,7.925950116,7.185553768,6.377287649,0.190149476,0.190118774,8.05881256892356e-06,2.2643434791141e-05,0.223870297,0.223841432,7.08401888474456e-06,2.17816702465715e-05,0.241570279,0.241543637,6.12190470072695e-06,2.05204551151471e-05,0.259298963,0.2592752,5.15979051670933e-06,1.86035530652461e-05,0.29860207,0.298581334,4.22488641934038e-06,1.65109347203e-05
BEN,BEN.11_1,BEN.11.2_1,OILP,9829.047421,19.36083502,190298.5655,22606.33017,24468.76353,26002.45192,25046.57409,24787.86227,22601.14121,24463.78732,25997.76917,25042.32591,24784.01478,0.700214367,0.614926135,0.529637904,0.444349672,0.380089107,4.488750223,4.361279489,4.153114578,3.80382593,3.467394381,0.118794012,0.118766745,3.67955672615643e-06,2.35879351537332e-05,0.128580914,0.128554765,3.23137556794024e-06,2.29180891472394e-05,0.136640294,0.136615686,2.78319440972403e-06,2.18242032822152e-05,0.131617251,0.131594927,2.33501325150783e-06,1.99887262394386e-05,0.130257746,0.130237528,1.99733038466107e-06,1.82208119747667e-05
