GID_0,GID_1,commodity,area__ha,yield_mt_ha,production_mt,LD_2020_CO2e,LD_2021_CO2e,LD_2022_CO2e,LD_2023_CO2e,LD_2024_CO2e,LD_2020_CO2,LD_2021_CO2,LD_2022_CO2,LD_2023_CO2,LD_2024_CO2,LD_2020_CH4,LD_2021_CH4,LD_2022_CH4,LD_2023_CH4,LD_2024_CH4,LD_2020_N2O,LD_2021_N2O,LD_2022_N2O,LD_2023_N2O,LD_2024_N2O,EF_2020_CO2e,EF_2020_CO2,EF_2020_CH4,EF_2020_N2O,EF_2021_CO2e,EF_2021_CO2,EF_2021_CH4,EF_2021_N2O,EF_2022_CO2e,EF_2022_CO2,EF_2022_CH4,EF_2022_N2O,EF_2023_CO2e,EF_2023_CO2,EF_2023_CH4,EF_2023_N2O,EF_2024_CO2e,EF_2024_CO2,EF_2024_CH4,EF_2024_N2O
AGO,AGO.4_1,OILP,286.92443,13.91348089,3992.117573,780.7415689,809.8170433,784.6553246,786.3764487,753.1859563,779.2809447,808.4035634,783.3445218,785.1706982,752.0996727,0,0,0,0,0,1.460624182,1.413479926,1.310802771,1.205750574,1.086283697,0.195570785,0.195204908,0,0.000365877,0.202854006,0.202499939,0,0.000354068,0.196551156,0.196222808,0,0.000328348,0.196982287,0.196680254,0,0.000302033,0.18866828,0.188396173,0,0.000272107
BEN,BEN.3_1,OILP,13384.49337,24.34889327,325897.6006,50700.69786,67276.42936,88415.92073,97270.15305,106370.3403,50695.853,67271.92951,88411.57296,97266.04923,106366.5987,0.676629921,0.581468464,0.498150051,0.426674684,0.356999369,4.168228666,3.918387045,3.849617286,3.677151207,3.384659977,0.15557248,0.155557614,2.07620405968173e-06,1.27899949487354e-05,0.206434258,0.20642045,1.78420602850525e-06,1.20233688065836e-05,0.271299698,0.271286357,1.5285477719174e-06,1.18123523430704e-05,0.298468454,0.298455862,1.30922928991818e-06,1.12831490641019e-05,0.32639191,0.326380429,1.0954341748981e-06,1.03856547901103e-05
BEN,BEN.11_1,OILP,78687.94726,14.96435633,1177514.482,245664.2141,285351.1066,306932.4868,318432.2875,344705.1162,245616.7349,285304.1374,306888.0869,318391.5899,344668.5235,9.48259271,8.508335447,7.538975594,6.569615741,5.642275078,37.99653766,38.46090764,36.86091397,34.12793352,30.95044201,0.208629463,0.208589142,8.05305824735415e-06,3.22684249302181e-05,0.242333416,0.242293527,7.22567371994264e-06,3.266278948833e-05,0.260661326,0.26062362,6.40244830076713e-06,3.13040005387331e-05,0.270427491,0.270392929,5.57922288159161e-06,2.8983026574691e-05,0.292739598,0.292708522,4.79168211096748e-06,2.628455317636e-05
BEN,BEN.10_1,OILP,19509.87102,16.46841422,321296.6373,49795.23813,51303.52555,54827.05284,61447.51649,68510.0371,49775.34985,51283.92981,54807.95935,61429.37345,68493.29439,0.747247093,0.682269085,0.617291077,0.552313069,0.487335061,19.14103791,18.913478,18.47620111,17.59072876,16.25538122,0.154982133,0.154920233,2.32572335566537e-06,5.95743487028537e-05,0.159676509,0.15961552,2.12348654212925e-06,5.88660938452674e-05,0.170643096,0.170583669,1.92124972859313e-06,5.75051182107973e-05,0.191248552,0.191192083,1.71901291505701e-06,5.47491841395718e-05,0.21322986,0.213177751,1.51677610152089e-06,5.05930636475943e-05
BEN,BEN.7_1,OILP,4044.584617,24.93722048,100860.6984,13777.76273,16438.88515,19058.69558,19832.32443,20136.36093,13773.65831,16434.90587,19054.90126,19828.82008,20133.16744,0.208051642,0.193711645,0.179371649,0.165031652,0.150691655,3.896371992,3.785564917,3.61494295,3.339312579,3.04279984,0.136601897,0.136561203,2.0627622610019e-06,3.86312216320297e-05,0.162986033,0.16294658,1.92058600227075e-06,3.75326066423067e-05,0.188960575,0.188922956,1.7784097435396e-06,3.58409470580999e-05,0.196630846,0.196596101,1.63623348480846e-06,3.31081643673054e-05,0.199645266,0.199613603,1.4940572260773e-06,3.01683399930313e-05
BEN,BEN.9_1,OILP,13339.76318,26.51101644,353650.6809,31701.65089,43550.366,46529.99152,50351.62624,51323.67998,31695.47008,43544.24345,46524.07556,50346.10874,51318.6263,0.292775044,0.381674356,0.431538459,0.406154237,0.380770014,5.888029302,5.740871643,5.484428864,5.111342148,4.672908071,0.089641142,0.089623665,8.27865065373945e-07,1.66492802651445e-05,0.12314515,0.123127837,1.07924111629872e-06,1.62331700554829e-05,0.131570485,0.131553756,1.22023929942051e-06,1.55080398831822e-05,0.142376726,0.142361125,1.14846162761622e-06,1.44530815978907e-05,0.145125353,0.145111063,1.07668395581192e-06,1.32133439116113e-05
BEN,BEN.5_1,OILP,7.466459611,11.26530124,84.11191671,10.54763529,9.9699459,9.392256509,8.814567119,8.236877729,10.53682529,9.959778591,9.382731893,8.805685194,8.228638496,0,0,0,0,0,0.01081,0.010167308,0.009524617,0.008881925,0.008239233,0.125400011,0.125271492,0,0.000128519,0.118531907,0.118411029,0,0.000120878,0.111663803,0.111550566,0,0.000113237,0.104795699,0.104690103,0,0.000105597,0.097927595,0.09782964,0,9.79555978746767e-05
BEN,BEN.12_1,OILP,2536.030688,21.9647894,55703.37997,1332.194876,1574.854862,3523.217474,3917.051984,4025.168411,1330.717879,1573.383212,3521.52575,3915.494942,4023.758944,0,0,0,0,0,1.47699654,1.471649299,1.691724516,1.557041727,1.409466877,0.023915871,0.023889356,0,2.65153845323228e-05,0.02827216,0.02824574,0,2.64193896172074e-05,0.063249617,0.063219247,0,3.03702309691655e-05,0.070319826,0.070291874,0,2.7952374311048e-05,0.072260757,0.072235454,0,2.53030763578995e-05
BLZ,BLZ.6_1,OILP,49.1167385,13.82363714,678.9719705,394.2770833,375.9559818,385.8457825,401.9284,385.0397208,389.4999697,371.7113939,382.0751798,397.9621082,379.8850531,2.460279839,2.186213212,1.92545596,2.219700763,3.286249259,2.316833783,2.058374708,1.845146703,1.746591054,1.868418402,0.580697143,0.573661339,0.003623537,0.003412267,0.553713552,0.54746206,0.003219887,0.003031605,0.568279398,0.562725998,0.00283584,0.002717559,0.591966116,0.586124502,0.003269208,0.002572405,0.567092218,0.559500347,0.004840037,0.002751834
BRA,BRA.14_1,OILP,257345.531,14.36682449,3697238.077,2090826.718,1891209.604,1852562.36,1771645.915,1768388.017,2082545.08,1883386.838,1843950.672,1762671.441,1758772.109,5320.552513,5069.028355,5792.098685,6199.544112,6862.945894,2961.085434,2753.737599,2819.589686,2774.930076,2752.961342,0.565510436,0.563270484,0.001439061,0.000800891,0.511519563,0.509403722,0.001371031,0.000744809,0.501066559,0.498737337,0.001566601,0.000762621,0.479180913,0.476753567,0.001676804,0.000750541,0.478299742,0.475698906,0.001856236,0.000744599
BRA,BRA.23_1,OILP,2229.323734,10.30356265,22969.97676,13579.37106,12053.57062,10690.83139,10488.80939,10814.86285,13534.19571,12015.62937,10658.70336,10458.80248,10788.07172,13.06044009,10.86474129,9.191005245,9.712332823,9.046825858,32.11491597,27.07651013,22.93702823,20.29457409,17.74430392,0.591179138,0.589212425,0.000568587,0.001398126,0.524753279,0.523101503,0.000472997,0.001178778,0.465426304,0.464027607,0.000400131,0.000998566,0.456631258,0.455324905,0.000422827,0.000883526,0.470826025,0.469659671,0.000393854,0.0007725
BRN,BRN.1_1,OILP,98.80626975,15.68190807,1549.470839,2844.243924,2572.379591,2300.649969,2038.538113,1766.456891,2824.404241,2554.483514,2284.696822,2024.525238,1754.38637,10.49973198,9.45605379,8.412375597,7.368697403,6.325019209,9.339951308,8.440022634,7.540770978,6.644178036,5.745501773,1.835622751,1.822818584,0.006776334,0.006027833,1.660166507,1.648616709,0.006102763,0.005447035,1.484797204,1.474501336,0.005429193,0.004866675,1.31563503,1.306591377,0.004755622,0.00428803,1.14003881,1.132248717,0.004082051,0.003708041
BRN,BRN.3_1,OILP,371.9107041,15.79933364,5875.941298,6742.145833,6072.088832,5250.651925,4434.594408,3823.777828,6729.469049,6061.290764,5241.471634,4427.04833,3816.563898,5.149396662,4.10284397,3.346199777,2.589555584,2.815746431,7.527387743,6.695224341,5.834091091,4.956522595,4.398183694,1.147415451,1.145258046,0.000876353,0.001281052,1.033381466,1.031543791,0.000698245,0.00113943,0.893584816,0.892022464,0.000569475,0.000992878,0.754703661,0.753419428,0.000440705,0.000843528,0.650751537,0.64952383,0.000479199,0.000748507
BRN,BRN.4_1,OILP,3.756795518,16.23333333,60.98531392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,CAF.12_1,OILP,151.4382067,6.07336758,919.7398952,1626.709685,1397.364454,1181.082495,965.8615237,1189.496484,1625.706719,1396.502089,1180.35497,965.2702964,1189.042864,0.233287502,0.197397117,0.161506732,0.125616347,0.089725962,0.769678457,0.664967535,0.566018446,0.465610979,0.363894288,1.768662742,1.767572253,0.000253645,0.000836844,1.519303948,1.51836633,0.000214623,0.000722995,1.284148379,1.283357367,0.0001756,0.000615411,1.050146382,1.049503562,0.000136578,0.000506242,1.293296605,1.2928034,9.75558011740647e-05,0.000395649
