GID_0,GID_1,crop,yield_mt,yield_kg,yield_factor_kg
AFG,AFG.1_1,BARL,0.9422420634920635,942.2420634920635,0.0010612984059466403
AFG,AFG.1_1,BEAN,6.470697674418606,6470.697674418606,1.5454284071305345e-4
AFG,AFG.1_1,COTT,2.145933014354067,2145.933014354067,4.6599777034559645e-4
AFG,AFG.1_1,GROU,5.2057692307692305,5205.7692307692305,1.920945696342815e-4
AFG,AFG.1_1,LENT,1.7181818181818183,1718.1818181818182,5.82010582010582e-4
AFG,AFG.1_1,MAIZ,2.016953455571227,2016.9534555712269,4.957972615767612e-4
AFG,AFG.1_1,MILL,1.2195550351288056,1219.5550351288057,8.199711953912626e-4
AFG,AFG.1_1,OCER,1.6,1600,6.25e-4
AFG,AFG.1_1,ONIO,20.39566126502875,20395.66126502875,4.9030035702477646e-5
AFG,AFG.1_1,OOIL,0.9254369240546553,925.4369240546553,0.0010805706731677168
AFG,AFG.1_1,OPUL,0.2812301248739626,281.2301248739626,0.003555806834165311
AFG,AFG.1_1,POTA,9.036929218623845,9036.929218623845,1.1065705792396161e-4
AFG,AFG.1_1,RAPE,0.7000000000000001,700.0000000000001,0.0014285714285714284
AFG,AFG.1_1,REST,1.4129338137682537,1412.9338137682537,7.077472350477826e-4
AFG,AFG.1_1,RICE,1.7407928476167414,1740.7928476167413,5.744508896443739e-4
AFG,AFG.1_1,SESA,0.41302987582317835,413.0298758231784,0.0024211323648367475
AFG,AFG.1_1,SUGB,15.580769230769231,15580.76923076923,6.418168353492965e-5
AFG,AFG.1_1,SUNF,2.0072847682119206,2007.2847682119207,4.981854173540085e-4
AFG,AFG.1_1,TEMF,12.979534763653051,12979.534763653051,7.704436393208234e-5
AFG,AFG.1_1,TOMA,30.7,30700,3.257328990228013e-5
AFG,AFG.1_1,TROF,15.167858465065093,15167.858465065094,6.59288852347363e-5
AFG,AFG.1_1,VEGE,12.012436783981835,12012.436783981835,8.324705619541449e-5
AFG,AFG.1_1,WHEA,1.496293889460663,1496.293889460663,6.683179066917453e-4
