GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.12_1,PLNT,0.3394,0.2077,0.104,0.03872,0.01103,0
AGO,AGO.17_1,PLNT,3.174,3.646,3.414,3.813,3.445,3.267
AGO,AGO.18_1,PLNT,2.247,1.414,0.9528,0.4664,0.2085,0.1681
AGO,AGO.4_1,PLNT,12.15,11.81,11.69,14.45,14.17,13.46
ARG,ARG.17_1,PLNT,292.6,254.2,215.9,177.5,139.2,100.8
BDI,BDI.10_1,PLNT,0.01031,0.01035,0.01111,0.01277,0.01502,0.02025
BDI,BDI.11_1,PLNT,0.07126,0.06711,0.06088,0.05539,0.04934,0.04251
BDI,BDI.12_1,PLNT,0.008554,0.009,0.01032,0.01051,0.01204,0.01288
BDI,BDI.13_1,PLNT,0.01953,0.02379,0.02914,0.0377,0.07269,0.09632
BDI,BDI.14_1,PLNT,0.01648,0.02012,0.02239,0.0226,0.02223,0.02782
BDI,BDI.15_1,PLNT,0.02007,0.02818,0.03318,0.03526,0.03696,0.04224
BDI,BDI.16_1,PLNT,0.1103,0.1018,0.09046,0.08321,0.07439,0.0695
BDI,BDI.17_1,PLNT,0.0205,0.02175,0.02298,0.02582,0.03158,0.04061
BDI,BDI.1_1,PLNT,0.02497,0.02896,0.03054,0.03026,0.03277,0.0349
BDI,BDI.2_1,PLNT,0.04786,0.04554,0.04246,0.03938,0.03629,0.03491
BDI,BDI.3_1,PLNT,0.01128,0.01167,0.01125,0.0121,0.01396,0.01664
BDI,BDI.4_1,PLNT,0.1009,0.1199,0.1167,0.1246,0.1188,0.1127
BDI,BDI.5_1,PLNT,0.06597,0.07017,0.06864,0.07358,0.09506,0.112
BDI,BDI.6_1,PLNT,0.1247,0.1647,0.1866,0.2256,0.2599,0.2867
BDI,BDI.7_1,PLNT,0.01752,0.02348,0.02533,0.02742,0.02902,0.03245
BDI,BDI.8_1,PLNT,0.02168,0.02599,0.02918,0.03358,0.03602,0.04795
BDI,BDI.9_1,PLNT,0.008666,0.01036,0.01102,0.01088,0.01105,0.01477
BEN,BEN.11_1,PLNT,0.05238,0.04556,0.03877,0.03199,0.02522,0.01847
