GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,SMIL,0.5219,0.4744,0.427,0.38,0.3335,0.2871
AFG,AFG.22_1,SMIL,0,0,0,0,0,0
AFG,AFG.29_1,SMIL,2.166,0.7031,0,0,0,0
AFG,AFG.31_1,SMIL,0.037,0.03186,0.0279,0.02407,0.02046,0.01709
AFG,AFG.3_1,SMIL,0,0,0,0,0,0
ARG,ARG.10_1,SMIL,20.14,18.94,17.74,16.52,15.3,14.08
ARG,ARG.11_1,SMIL,6.368,4.757,18.13,16.09,130.4,123.3
ARG,ARG.15_1,SMIL,0.3574,0.3352,0.3131,0.335,0.3106,0.2862
ARG,ARG.16_1,SMIL,3.264,5.666,5.389,5.882,7.102,6.645
ARG,ARG.17_1,SMIL,45.82,46.16,48.45,47.06,45.33,44.71
ARG,ARG.19_1,SMIL,4.023,3.56,3.098,2.635,2.173,1.71
ARG,ARG.1_1,SMIL,13.92,10.94,8.624,6.567,5.135,4.177
ARG,ARG.21_1,SMIL,111.7,109.2,115.6,129.4,149.9,159.8
ARG,ARG.22_1,SMIL,79.02,81.57,85.22,88.12,92.8,98.86
ARG,ARG.24_1,SMIL,20.79,18.47,16.41,14.09,11.91,9.846
ARG,ARG.2_1,SMIL,39.66,108.9,102.4,95.99,89.57,83.14
ARG,ARG.3_1,SMIL,18210,17730,18120,20080,20060,19260
ARG,ARG.6_1,SMIL,48.63,43.84,39.26,34.64,48.26,53.67
ARG,ARG.8_1,SMIL,412.4,462,479.9,467.7,467.3,460.4
ARG,ARG.9_1,SMIL,561,527.2,508.4,473.8,455.9,420.5
ARM,ARM.2_1,SMIL,0.1041,0.09241,0.08074,0.06906,0.05739,0.04572
ARM,ARM.3_1,SMIL,0,0,0,0,0,0
AUS,AUS.10_1,SMIL,2.115,1.85,1.588,1.316,1.048,0.7773
AUS,AUS.11_1,SMIL,17.3,15.45,13.46,11.52,10.48,8.338
AUS,AUS.5_1,SMIL,0.8906,0.9163,0.9151,0.8971,0.9376,0.9505
AUS,AUS.6_1,SMIL,1.244,1.165,1.093,1.053,0.9975,0.972
AUS,AUS.7_1,SMIL,71.31,72.85,75.61,77.13,80.63,80.84
AUS,AUS.8_1,SMIL,0.6384,0.571,0.5163,0.4434,0.3777,0.318
AUS,AUS.9_1,SMIL,19.75,18.49,17.4,16.16,15.2,13.82
AZE,AZE.10_1,SMIL,0,0,0,0,0,0
