GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,TROF,0,0,0,0,0
AFG,AFG.16_1,TROF,0,0,0,0,0
AFG,AFG.18_1,TROF,7.571e-4,4.543e-4,1.514e-4,0,0
AFG,AFG.19_1,TROF,0.01197,0.01027,0.008626,0.00698,0.005334
AFG,AFG.1_1,TROF,0,0,0,0,0.3543
AFG,AFG.20_1,TROF,0,0,0,0,0
AFG,AFG.21_1,TROF,0,0,0,0,0.014880000000000001
AFG,AFG.24_1,TROF,0.6987,0.6069,0.515,0.4232,0.3314
AFG,AFG.28_1,TROF,0,0,0,0,0
AFG,AFG.2_1,TROF,0.0381,0.008038,0.005891,0.004732,0.003788
AFG,AFG.30_1,TROF,0,0,0,0,0.008671
AFG,AFG.31_1,TROF,0.006248,0.005487,0.004729,0.003994,0.003766
AFG,AFG.33_1,TROF,0,0,0,0,0
AFG,AFG.3_1,TROF,1.065e-4,0.001038,9.754e-4,9.132e-4,0.01762
AFG,AFG.8_1,TROF,0,0,0,0,0
AGO,AGO.10_1,TROF,2.136,2.277,2.271,2.297,2.281
AGO,AGO.11_1,TROF,0.3181,0.2748,0.2331,0.1921,0.1517
AGO,AGO.12_1,TROF,6.181,6.431,6.566,7.303,8.117
AGO,AGO.13_1,TROF,1.887,1.887,1.894,1.967,2.023
AGO,AGO.14_1,TROF,1.339,1.378,1.382,1.421,1.518
AGO,AGO.15_1,TROF,7.854,7.277,6.778,6.222,5.669
AGO,AGO.16_1,TROF,1.043,1.392,1.679,1.706,1.738
AGO,AGO.17_1,TROF,3.531,4.1,4.317,4.634,4.808
AGO,AGO.18_1,TROF,0.9452,0.9384,0.9761,1.009,1.006
AGO,AGO.1_1,TROF,1.484,1.508,1.486,1.59,1.677
AGO,AGO.2_1,TROF,0.566,0.5965,0.5801,0.5816,0.6058
AGO,AGO.3_1,TROF,1.338,1.411,1.467,1.519,1.594
AGO,AGO.4_1,TROF,1.282,1.31,1.314,1.464,1.439
AGO,AGO.5_1,TROF,6.168,6.782,7.242,7.679,8.24
AGO,AGO.6_1,TROF,1.011,0.9904,0.9261,0.855,0.7737
AGO,AGO.7_1,TROF,0.1902,0.2069,0.2217,0.2422,0.2682
AGO,AGO.8_1,TROF,1.68,1.549,1.355,1.179,1.001
