GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.19_1,SOYB,0,0,0,0,0
AFG,AFG.31_1,SOYB,0.3161,0.2689,0.2233,0.1805,0.1458
AGO,AGO.10_1,SOYB,13.54,13.66,13.45,11.42,11.83
AGO,AGO.13_1,SOYB,4.512,4.481,4.422,3.999,4.468
AGO,AGO.14_1,SOYB,5.521,5.7,5.598,4.824,5.278
AGO,AGO.15_1,SOYB,29.78,32.51,35.46,31.62,35.35
AGO,AGO.16_1,SOYB,15.64,11.62,7.723,3.609,1.549
AGO,AGO.17_1,SOYB,1047,1277,1364,1244,1370
AGO,AGO.18_1,SOYB,14.35,15.42,15.14,14.14,14.53
AGO,AGO.1_1,SOYB,465.9,490.6,507.4,491.1,526.6
AGO,AGO.2_1,SOYB,3.14,3.241,3.179,2.676,2.93
AGO,AGO.3_1,SOYB,15.2,16.59,17.57,15.23,16.88
AGO,AGO.5_1,SOYB,7.521,6.781,6.384,4.657,4.694
AGO,AGO.6_1,SOYB,67.76,82.6,84.24,71.79,75.49
AGO,AGO.7_1,SOYB,13.02,13.04,13.2,11.15,12.22
AGO,AGO.9_1,SOYB,6.918,7.605,8.151,7.392,8.218
ALB,ALB.10_1,SOYB,0.1834,0.2008,0.1006,0.1215,0.0983
ALB,ALB.11_1,SOYB,1.444,1.846,0.9822,1.202,1.105
ALB,ALB.12_1,SOYB,0.4432,0.4991,0.264,0.3318,0.3003
ALB,ALB.1_1,SOYB,0.973,1.214,0.6391,0.7953,0.7014
ALB,ALB.2_1,SOYB,1.081,0.9449,0.54990000000000006,0.3993,0.3912
ALB,ALB.3_1,SOYB,1.199,1.741,0.9042,1.112,0.9515
ALB,ALB.4_1,SOYB,0,0,0,0,0
ALB,ALB.5_1,SOYB,0.7233,0.8378,0.4365,0.5599,0.475
ALB,ALB.6_1,SOYB,0.2014,0.2488,0.1255,0.1529,0.1249
ALB,ALB.7_1,SOYB,0.8552,0.9376,0.4808,0.9242,0.7818
ALB,ALB.8_1,SOYB,0.1157,0.1249,0.06144,0.07265,0.05721
ALB,ALB.9_1,SOYB,0,0,0,0,0
ARG,ARG.10_1,SOYB,4.075,3.965,3.866,6.194,4.564
ARG,ARG.11_1,SOYB,0.004641,0.004245,0.003846,0.005982,0.003903
ARG,ARG.12_1,SOYB,0,0,0,0,0
ARG,ARG.14_1,SOYB,2.513,2.651,3.112,2.628,2.759
ARG,ARG.16_1,SOYB,0.3941,0.5566,0.8268,1.585,1.461
ARG,ARG.17_1,SOYB,3.096,2.911,2.698,4.072,2.737
ARG,ARG.19_1,SOYB,0.09773,0.09344,0.09029,0.1584,0.1126
ARG,ARG.1_1,SOYB,0.0297,0.02828,0.02675,0.04214,0.03
ARG,ARG.21_1,SOYB,0.0426,0.04139,0.04129,0.0694,0.05215
ARG,ARG.22_1,SOYB,0.8558,0.8455,0.8096,1.286,0.9407
ARG,ARG.24_1,SOYB,0.3521,0.3167,0.2774,0.3916,0.2505
ARG,ARG.2_1,SOYB,0.5977,0.5862,0.6065,0.9179,0.6513
ARG,ARG.3_1,SOYB,0.8031,0.7837,0.7858,1.363,1.029
ARG,ARG.6_1,SOYB,0.04732,0.04112,0.03469,0.0489,0.03022
ARG,ARG.7_1,SOYB,2.676,2.525,3.389,4.839,4.553
ARG,ARG.8_1,SOYB,0.3342,0.3297,0.3191,0.53,0.3834
ARG,ARG.9_1,SOYB,7.446,7.665,8.43,12.26,9.815
ARM,ARM.7_1,SOYB,418.9,510,461.4,412.9,363.8
AUS,AUS.10_1,SOYB,53.81,20.4,12.3,11.28,9.256
AUS,AUS.11_1,SOYB,4.426,1.826,1.318,1.417,1.466
AUS,AUS.5_1,SOYB,1.125,0.4729,0.3249,0.3468,0.367
AUS,AUS.7_1,SOYB,409.2,122.3,54.97,37.56,23.25
AUS,AUS.8_1,SOYB,0.8804,0.3652,0.2434,0.2472,0.2312
AUT,AUT.1_1,SOYB,0.4438,0.3615,0.3254,0.2838,0.278
AUT,AUT.2_1,SOYB,4.361,3.062,2.235,1.427,1.272
AUT,AUT.3_1,SOYB,0.7752,0.6782,0.6333,0.6315,0.633
AUT,AUT.4_1,SOYB,0.9791,0.763,0.6392,0.4969,0.4403
AUT,AUT.6_1,SOYB,3.366,2.889,2.748,2.471,2.658
AUT,AUT.7_1,SOYB,3.787,3.022,2.789,2.545,2.66
AUT,AUT.8_1,SOYB,0.4681,0.3061,0.1925,0.08806,0.04671
AUT,AUT.9_1,SOYB,0.8221,0.6005,0.4757,0.3435,0.2721
AZE,AZE.10_1,SOYB,2.44,0.8484,0.7593,6.558,6.161
AZE,AZE.1_1,SOYB,3.167,2.913,2.666,2.447,2.211
AZE,AZE.2_1,SOYB,0.01559,0.01396,0.01233,0.0107,0.009133
AZE,AZE.3_1,SOYB,104.5,97.78,91.29,89.65,90.44
AZE,AZE.4_1,SOYB,13.1,11.98,10.89,21.3,19.65
AZE,AZE.5_1,SOYB,0,0,0,0.03492,2.627
AZE,AZE.6_1,SOYB,23.61,21.39,19.22,17.11,15.04
AZE,AZE.8_1,SOYB,0.6043,0.5526,0.5685,1.066,1.237
AZE,AZE.9_1,SOYB,0.415,74.34,70.16,66.99,63.07
BDI,BDI.10_1,SOYB,0.6347,0.5179,0.4012,0.3493,0.2711
BDI,BDI.11_1,SOYB,1.639,1.503,1.341,1.237,1.114
BDI,BDI.12_1,SOYB,0.1118,0.4972,0.4694,0.4391,0.4079
BDI,BDI.13_1,SOYB,0.2254,0.1853,0.1556,0.1315,0.1075
BDI,BDI.14_1,SOYB,1.243,1.499,1.56,1.541,1.551
BDI,BDI.15_1,SOYB,0.8096,1.096,1.288,1.35,1.407
BDI,BDI.16_1,SOYB,2.806,2.465,2.159,1.945,1.714
BDI,BDI.17_1,SOYB,2.043,1.68,1.394,1.118,0.8549
BDI,BDI.1_1,SOYB,0.9899,1.117,1.182,1.176,1.268
BDI,BDI.2_1,SOYB,2.267,2.155,2.041,1.911,1.775
BDI,BDI.3_1,SOYB,0.8865,0.7876,0.6799,0.7583,0.7653
BDI,BDI.4_1,SOYB,4.609,6.423,6.096,6.168,5.814
BDI,BDI.5_1,SOYB,0.5968,0.515,0.4676,0.4554,0.5037
BDI,BDI.6_1,SOYB,1.449,1.633,1.509,1.862,2.071
BDI,BDI.7_1,SOYB,0.6512,0.8789,0.9749,1.06,1.116
BDI,BDI.8_1,SOYB,0.6885,0.788,0.835,0.894,0.9138
BDI,BDI.9_1,SOYB,0.4609,0.5811,0.6217,0.6766,0.7212
BEL,BEL.3_1,SOYB,4.99,4.654,4.498,2.641,2.336
BEN,BEN.10_1,SOYB,1.247,1.227,1.482,0.9387,1.138
BEN,BEN.11_1,SOYB,0.5544,0.5427,0.5614,0.3805,0.4425
BEN,BEN.12_1,SOYB,0.3484,0.3201,0.4482,0.2706,0.3126
BEN,BEN.1_1,SOYB,0.543,0.4856,0.4804,0.2972,0.3362
BEN,BEN.2_1,SOYB,0.4625,0.3979,0.3798,0.23,0.2695
BEN,BEN.3_1,SOYB,5.452,4.988,5.036,3.252,3.911
BEN,BEN.4_1,SOYB,1.911,1.538,1.385,0.7564,0.8234
BEN,BEN.5_1,SOYB,1.515,1.436,1.437,1.049,1.254
BEN,BEN.6_1,SOYB,1.614,1.473,1.686,1.121,1.458
BEN,BEN.7_1,SOYB,1.418,1.418,1.541,0.9062,1.05
BEN,BEN.9_1,SOYB,4.265,4.199,4.151,2.781,3.449
BFA,BFA.10_1,SOYB,0,0,0,0,0
BFA,BFA.13_1,SOYB,1.214,0.9935,0.6133,0.5964,0.4654
BFA,BFA.1_1,SOYB,0.1198,0.1063,0.07225,0.0827,0.07475
BFA,BFA.2_1,SOYB,0.6901,0.6965,0.4973,0.5945,0.6086
BFA,BFA.3_1,SOYB,0.02355,0.02175,0.01497,0.03616,0.1035
BFA,BFA.4_1,SOYB,0,0,0,0,0
BFA,BFA.5_1,SOYB,0.2127,0.1785,0.1156,0.1406,0.1428
BFA,BFA.6_1,SOYB,0.08912,0.07531,0.0481,0.05147,0.0434
BFA,BFA.7_1,SOYB,0,0,0,0,0
BFA,BFA.8_1,SOYB,0.07537,0.0679,0.04785,0.06165,0.06517
BFA,BFA.9_1,SOYB,0.336,0.3105,0.2222,0.2683,0.28
BGD,BGD.1_1,SOYB,0.00981,0.01022,0.008472,0.1046,0.1588
BGD,BGD.2_1,SOYB,8.601,10.89,10.53,10.33,11.06
BGD,BGD.3_1,SOYB,0.4697,0.4206,0.3001,0.4507,0.4158
BGD,BGD.4_1,SOYB,0.001691,0.02558,0.1955,3.781,7.57
BGD,BGD.5_1,SOYB,0.09388,0.09194,0.07721,0.05712,0.08144
BGD,BGD.7_1,SOYB,1.764,1.525,1.632,1.711,2.234
BGD,BGD.8_1,SOYB,11.96,12.76,12.4,9.902,9.592
BGR,BGR.10_1,SOYB,0.2828,0.5703,0.1433,0.3117,0.233
BGR,BGR.11_1,SOYB,0.07752,0.1608,0.04662,0.09614,0.07665
BGR,BGR.12_1,SOYB,0.09167,0.1808,0.044,0.06388,0.04444
BGR,BGR.13_1,SOYB,0.4168,0.9936,0.2685,0.8538,0.6759
BGR,BGR.14_1,SOYB,0.09017,0.1942,0.05056,0.09421,0.1433
BGR,BGR.15_1,SOYB,0.9937,2.253,0.6295,1.566,1.373
