GID_0,GID_1,crop_type,SOYB_LD_2020,SOYB_LD_2021,SOYB_LD_2022,SOYB_LD_2023,SOYB_LD_2024,SOYB_production_2020,SOYB_production_2021,SOYB_production_2022,SOYB_production_2023,SOYB_production_2024,SOYB_EF_2020,SOYB_EF_2021,SOYB_EF_2022,SOYB_EF_2023,SOYB_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
AFG,AFG.19_1,SOYB,0,0,0,0,0,0.00119721730319799,0.00119549551417134,0.00118516478001143,0.00119262586579359,0.00118957638611749,0,0,0,0,0,Soybean oil,1 kg soybean oil,2.1,0,0,0,0,0
AFG,AFG.19_1,SOYB,0,0,0,0,0,0.00119721730319799,0.00119549551417134,0.00118516478001143,0.00119262586579359,0.00118957638611749,0,0,0,0,0,Soybean,1 kg soybean,1,0,0,0,0,0
AFG,AFG.19_1,SOYB,0,0,0,0,0,0.00119721730319799,0.00119549551417134,0.00118516478001143,0.00119262586579359,0.00118957638611749,0,0,0,0,0,Partially hydrogenated soybean oil,1 kg partially hydrogenated soybean oil,1.9,0,0,0,0,0
AFG,AFG.19_1,SOYB,0,0,0,0,0,0.00119721730319799,0.00119549551417134,0.00118516478001143,0.00119262586579359,0.00118957638611749,0,0,0,0,0,Soy lecithin,1 kg soy lecithin,1.4,0,0,0,0,0
AFG,AFG.19_1,SOYB,0,0,0,0,0,0.00119721730319799,0.00119549551417134,0.00118516478001143,0.00119262586579359,0.00118957638611749,0,0,0,0,0,Ground soybeans,1 kg ground soybean,0.8,0,0,0,0,0
AFG,AFG.31_1,SOYB,0.00297674962663036,0.00252873694639021,0.00208072426615007,0.00169245702641137,0.00136393522717415,0.00935496769343701,0.00934151376099199,0.00926079016632187,0.00931909054025029,0.00929526213100876,0.3182,0.2707,0.2247,0.1816,0.1467,Soybean oil,1 kg soybean oil,2.1,0.66822,0.56847,0.47187000000000007,0.38136000000000003,0.30807
AFG,AFG.31_1,SOYB,0.00297674962663036,0.00252873694639021,0.00208072426615007,0.00169245702641137,0.00136393522717415,0.00935496769343701,0.00934151376099199,0.00926079016632187,0.00931909054025029,0.00929526213100876,0.3182,0.2707,0.2247,0.1816,0.1467,Soybean,1 kg soybean,1,0.3182,0.2707,0.2247,0.1816,0.1467
AFG,AFG.31_1,SOYB,0.00297674962663036,0.00252873694639021,0.00208072426615007,0.00169245702641137,0.00136393522717415,0.00935496769343701,0.00934151376099199,0.00926079016632187,0.00931909054025029,0.00929526213100876,0.3182,0.2707,0.2247,0.1816,0.1467,Partially hydrogenated soybean oil,1 kg partially hydrogenated soybean oil,1.9,0.6045799999999999,0.51433,0.42693,0.34504,0.27873
AFG,AFG.31_1,SOYB,0.00297674962663036,0.00252873694639021,0.00208072426615007,0.00169245702641137,0.00136393522717415,0.00935496769343701,0.00934151376099199,0.00926079016632187,0.00931909054025029,0.00929526213100876,0.3182,0.2707,0.2247,0.1816,0.1467,Soy lecithin,1 kg soy lecithin,1.4,0.44547999999999993,0.37898,0.31457999999999997,0.25424,0.20537999999999998
AFG,AFG.31_1,SOYB,0.00297674962663036,0.00252873694639021,0.00208072426615007,0.00169245702641137,0.00136393522717415,0.00935496769343701,0.00934151376099199,0.00926079016632187,0.00931909054025029,0.00929526213100876,0.3182,0.2707,0.2247,0.1816,0.1467,Ground soybeans,1 kg ground soybean,0.8,0.25456,0.21656,0.17976000000000003,0.14528000000000002,0.11736
AGO,AGO.10_1,SOYB,1219.7743117027337,1210.0494995663698,1192.6694974523102,1209.691997722631,1189.00767390732,89.90036805444598,88.37522812064383,88.51021721416357,105.71777429336603,100.36318323478532,13.57,13.69,13.47,11.44,11.85,Soybean oil,1 kg soybean oil,2.1,28.497000000000003,28.749,28.287000000000003,24.024,24.885
AGO,AGO.10_1,SOYB,1219.7743117027337,1210.0494995663698,1192.6694974523102,1209.691997722631,1189.00767390732,89.90036805444598,88.37522812064383,88.51021721416357,105.71777429336603,100.36318323478532,13.57,13.69,13.47,11.44,11.85,Soybean,1 kg soybean,1,13.57,13.69,13.47,11.44,11.85
AGO,AGO.10_1,SOYB,1219.7743117027337,1210.0494995663698,1192.6694974523102,1209.691997722631,1189.00767390732,89.90036805444598,88.37522812064383,88.51021721416357,105.71777429336603,100.36318323478532,13.57,13.69,13.47,11.44,11.85,Partially hydrogenated soybean oil,1 kg partially hydrogenated soybean oil,1.9,25.782999999999998,26.011,25.593,21.735999999999997,22.514999999999997
AGO,AGO.10_1,SOYB,1219.7743117027337,1210.0494995663698,1192.6694974523102,1209.691997722631,1189.00767390732,89.90036805444598,88.37522812064383,88.51021721416357,105.71777429336603,100.36318323478532,13.57,13.69,13.47,11.44,11.85,Soy lecithin,1 kg soy lecithin,1.4,18.997999999999998,19.165999999999997,18.858,16.016,16.59
AGO,AGO.10_1,SOYB,1219.7743117027337,1210.0494995663698,1192.6694974523102,1209.691997722631,1189.00767390732,89.90036805444598,88.37522812064383,88.51021721416357,105.71777429336603,100.36318323478532,13.57,13.69,13.47,11.44,11.85,Ground soybeans,1 kg ground soybean,0.8,10.856000000000002,10.952,10.776000000000002,9.152,9.48
AGO,AGO.13_1,SOYB,5.372529550141196,5.242370208705874,5.179001180592023,5.592134943128608,5.929909502928699,1.186732287948316,1.1665996361889124,1.1683815634409094,1.395530395248092,1.3248469683000657,4.527,4.494,4.433,4.007,4.476,Soybean oil,1 kg soybean oil,2.1,9.5067,9.4374,9.3093,8.4147,9.3996
