GID_0,crop_type,COCO_LD_2020,COCO_LD_2021,COCO_LD_2022,COCO_LD_2023,COCO_LD_2024,COCO_production_2020,COCO_production_2021,COCO_production_2022,COCO_production_2023,COCO_production_2024,COCO_EF_2020,COCO_EF_2021,COCO_EF_2022,COCO_EF_2023,COCO_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
AGO,COCO,120506.10330877456,145305.36199299342,153023.27531570967,162500.70821364352,168341.66433343946,188.1431109745777,193.01343695317735,192.18752834640216,191.13281645701687,192.16101999038767,640.5,752.8,796.2,850.2,876,Cocoa liquor,1 kg cocoa liquor,1.2,768.6,903.3599999999999,955.44,1020.24,1051.2
AGO,COCO,120506.10330877456,145305.36199299342,153023.27531570967,162500.70821364352,168341.66433343946,188.1431109745777,193.01343695317735,192.18752834640216,191.13281645701687,192.16101999038767,640.5,752.8,796.2,850.2,876,Cocoa butter,1 kg cocoa butter,1.6,1024.8,1204.48,1273.92,1360.3200000000002,1401.6000000000001
AGO,COCO,120506.10330877456,145305.36199299342,153023.27531570967,162500.70821364352,168341.66433343946,188.1431109745777,193.01343695317735,192.18752834640216,191.13281645701687,192.16101999038767,640.5,752.8,796.2,850.2,876,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,512.4,602.24,636.96,680.1600000000001,700.8000000000001
AGO,COCO,120506.10330877456,145305.36199299342,153023.27531570967,162500.70821364352,168341.66433343946,188.1431109745777,193.01343695317735,192.18752834640216,191.13281645701687,192.16101999038767,640.5,752.8,796.2,850.2,876,Cocoa powder,1 kg cocoa powder,0.8,512.4,602.24,636.96,680.1600000000001,700.8000000000001
AGO,COCO,120506.10330877456,145305.36199299342,153023.27531570967,162500.70821364352,168341.66433343946,188.1431109745777,193.01343695317735,192.18752834640216,191.13281645701687,192.16101999038767,640.5,752.8,796.2,850.2,876,Cocoa beans,1 kg cocoa bean,1,640.5,752.8,796.2,850.2,876
ARG,COCO,3.0012526423765293,3.622879257914117,3.7583586169613894,3.6040079873677313,3.582869448912533,0.2586687782355534,0.2897255256661778,0.28867067412002556,0.2839900101229627,0.286629322211392,11.6,12.5,13.02,12.69,12.5,Cocoa liquor,1 kg cocoa liquor,1.2,13.92,15,15.623999999999999,15.227999999999998,15
ARG,COCO,3.0012526423765293,3.622879257914117,3.7583586169613894,3.6040079873677313,3.582869448912533,0.2586687782355534,0.2897255256661778,0.28867067412002556,0.2839900101229627,0.286629322211392,11.6,12.5,13.02,12.69,12.5,Cocoa butter,1 kg cocoa butter,1.6,18.56,20,20.832,20.304000000000002,20
ARG,COCO,3.0012526423765293,3.622879257914117,3.7583586169613894,3.6040079873677313,3.582869448912533,0.2586687782355534,0.2897255256661778,0.28867067412002556,0.2839900101229627,0.286629322211392,11.6,12.5,13.02,12.69,12.5,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,9.28,10,10.416,10.152000000000001,10
ARG,COCO,3.0012526423765293,3.622879257914117,3.7583586169613894,3.6040079873677313,3.582869448912533,0.2586687782355534,0.2897255256661778,0.28867067412002556,0.2839900101229627,0.286629322211392,11.6,12.5,13.02,12.69,12.5,Cocoa powder,1 kg cocoa powder,0.8,9.28,10,10.416,10.152000000000001,10
ARG,COCO,3.0012526423765293,3.622879257914117,3.7583586169613894,3.6040079873677313,3.582869448912533,0.2586687782355534,0.2897255256661778,0.28867067412002556,0.2839900101229627,0.286629322211392,11.6,12.5,13.02,12.69,12.5,Cocoa beans,1 kg cocoa bean,1,11.6,12.5,13.02,12.69,12.5
