GID_0,crop_type,COCO_LD_2020,COCO_LD_2021,COCO_LD_2022,COCO_LD_2023,COCO_LD_2024,COCO_production_2020,COCO_production_2021,COCO_production_2022,COCO_production_2023,COCO_production_2024,COCO_EF_2020,COCO_EF_2021,COCO_EF_2022,COCO_EF_2023,COCO_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
BEN,COCO,1937.3017642291504,1673.277165577756,1473.891258070695,1295.9173193610022,1070.0224131414072,706.9719852951233,545.3172679809501,821.5048067832784,776.7583842632313,787.1196700706465,2.74,3.068,1.794,1.668,1.359,Cocoa liquor,1 kg cocoa liquor,1.2,3.2880000000000003,3.6816,2.1528,2.0016,1.6308
BEN,COCO,1937.3017642291504,1673.277165577756,1473.891258070695,1295.9173193610022,1070.0224131414072,706.9719852951233,545.3172679809501,821.5048067832784,776.7583842632313,787.1196700706465,2.74,3.068,1.794,1.668,1.359,Cocoa butter,1 kg cocoa butter,1.6,4.384,4.9088,2.8704,2.6688,2.1744
BEN,COCO,1937.3017642291504,1673.277165577756,1473.891258070695,1295.9173193610022,1070.0224131414072,706.9719852951233,545.3172679809501,821.5048067832784,776.7583842632313,787.1196700706465,2.74,3.068,1.794,1.668,1.359,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,2.192,2.4544,1.4352,1.3344,1.0872
BEN,COCO,1937.3017642291504,1673.277165577756,1473.891258070695,1295.9173193610022,1070.0224131414072,706.9719852951233,545.3172679809501,821.5048067832784,776.7583842632313,787.1196700706465,2.74,3.068,1.794,1.668,1.359,Cocoa powder,1 kg cocoa powder,0.8,2.192,2.4544,1.4352,1.3344,1.0872
BEN,COCO,1937.3017642291504,1673.277165577756,1473.891258070695,1295.9173193610022,1070.0224131414072,706.9719852951233,545.3172679809501,821.5048067832784,776.7583842632313,787.1196700706465,2.74,3.068,1.794,1.668,1.359,Cocoa beans,1 kg cocoa bean,1,2.74,3.068,1.794,1.668,1.359
BFA,COCO,3723.1723062787783,3827.449246172892,3906.1096108366705,4225.11826983742,5346.941341622682,3085.558107386519,3101.879383354508,3077.858801020069,3075.9059349665395,3078.207802374743,1.207,1.234,1.269,1.374,1.737,Cocoa liquor,1 kg cocoa liquor,1.2,1.4484000000000001,1.4808,1.5228,1.6488,2.0844
BFA,COCO,3723.1723062787783,3827.449246172892,3906.1096108366705,4225.11826983742,5346.941341622682,3085.558107386519,3101.879383354508,3077.858801020069,3075.9059349665395,3078.207802374743,1.207,1.234,1.269,1.374,1.737,Cocoa butter,1 kg cocoa butter,1.6,1.9312000000000002,1.9744000000000002,2.0303999999999998,2.1984000000000004,2.7792000000000003
BFA,COCO,3723.1723062787783,3827.449246172892,3906.1096108366705,4225.11826983742,5346.941341622682,3085.558107386519,3101.879383354508,3077.858801020069,3075.9059349665395,3078.207802374743,1.207,1.234,1.269,1.374,1.737,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,0.9656000000000001,0.9872000000000001,1.0151999999999999,1.0992000000000002,1.3896000000000002
BFA,COCO,3723.1723062787783,3827.449246172892,3906.1096108366705,4225.11826983742,5346.941341622682,3085.558107386519,3101.879383354508,3077.858801020069,3075.9059349665395,3078.207802374743,1.207,1.234,1.269,1.374,1.737,Cocoa powder,1 kg cocoa powder,0.8,0.9656000000000001,0.9872000000000001,1.0151999999999999,1.0992000000000002,1.3896000000000002
BFA,COCO,3723.1723062787783,3827.449246172892,3906.1096108366705,4225.11826983742,5346.941341622682,3085.558107386519,3101.879383354508,3077.858801020069,3075.9059349665395,3078.207802374743,1.207,1.234,1.269,1.374,1.737,Cocoa beans,1 kg cocoa bean,1,1.207,1.234,1.269,1.374,1.737
BLZ,COCO,14241.52814287664,14639.257328122692,14555.469525797043,14785.835688944886,18936.944908949983,124.63543057648644,181.9541536731187,369.0268953174093,236.625466128715,288.7888193833812,114.3,80.46,39.44,62.49,65.57,Cocoa liquor,1 kg cocoa liquor,1.2,137.16,96.55199999999999,47.327999999999996,74.988,78.68399999999998
BLZ,COCO,14241.52814287664,14639.257328122692,14555.469525797043,14785.835688944886,18936.944908949983,124.63543057648644,181.9541536731187,369.0268953174093,236.625466128715,288.7888193833812,114.3,80.46,39.44,62.49,65.57,Cocoa butter,1 kg cocoa butter,1.6,182.88,128.736,63.104,99.98400000000001,104.91199999999999
BLZ,COCO,14241.52814287664,14639.257328122692,14555.469525797043,14785.835688944886,18936.944908949983,124.63543057648644,181.9541536731187,369.0268953174093,236.625466128715,288.7888193833812,114.3,80.46,39.44,62.49,65.57,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,91.44,64.368,31.552,49.992000000000004,52.455999999999996
BLZ,COCO,14241.52814287664,14639.257328122692,14555.469525797043,14785.835688944886,18936.944908949983,124.63543057648644,181.9541536731187,369.0268953174093,236.625466128715,288.7888193833812,114.3,80.46,39.44,62.49,65.57,Cocoa powder,1 kg cocoa powder,0.8,91.44,64.368,31.552,49.992000000000004,52.455999999999996
BLZ,COCO,14241.52814287664,14639.257328122692,14555.469525797043,14785.835688944886,18936.944908949983,124.63543057648644,181.9541536731187,369.0268953174093,236.625466128715,288.7888193833812,114.3,80.46,39.44,62.49,65.57,Cocoa beans,1 kg cocoa bean,1,114.3,80.46,39.44,62.49,65.57
BOL,COCO,57344.63804305091,57014.111127799646,57236.774951530184,57995.05490862005,58509.049363289225,621.7205800240339,621.7371906472764,621.8586343290665,621.8023217309308,621.8228237139409,92.24,91.7,92.04,93.27,94.09,Cocoa liquor,1 kg cocoa liquor,1.2,110.68799999999999,110.04,110.44800000000001,111.92399999999999,112.908
BOL,COCO,57344.63804305091,57014.111127799646,57236.774951530184,57995.05490862005,58509.049363289225,621.7205800240339,621.7371906472764,621.8586343290665,621.8023217309308,621.8228237139409,92.24,91.7,92.04,93.27,94.09,Cocoa butter,1 kg cocoa butter,1.6,147.584,146.72,147.264,149.232,150.544
BOL,COCO,57344.63804305091,57014.111127799646,57236.774951530184,57995.05490862005,58509.049363289225,621.7205800240339,621.7371906472764,621.8586343290665,621.8023217309308,621.8228237139409,92.24,91.7,92.04,93.27,94.09,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,73.792,73.36,73.632,74.616,75.272
BOL,COCO,57344.63804305091,57014.111127799646,57236.774951530184,57995.05490862005,58509.049363289225,621.7205800240339,621.7371906472764,621.8586343290665,621.8023217309308,621.8228237139409,92.24,91.7,92.04,93.27,94.09,Cocoa powder,1 kg cocoa powder,0.8,73.792,73.36,73.632,74.616,75.272
BOL,COCO,57344.63804305091,57014.111127799646,57236.774951530184,57995.05490862005,58509.049363289225,621.7205800240339,621.7371906472764,621.8586343290665,621.8023217309308,621.8228237139409,92.24,91.7,92.04,93.27,94.09,Cocoa beans,1 kg cocoa bean,1,92.24,91.7,92.04,93.27,94.09
BRA,COCO,8808069.185172766,8899925.609664803,9069776.274906855,9323269.689296251,9544334.917910362,207257.29566239408,232138.306134203,231293.19782403935,227543.2901064312,229657.7707358967,42.5,38.34,39.21,40.97,41.56,Cocoa liquor,1 kg cocoa liquor,1.2,51,46.008,47.052,49.163999999999994,49.872
BRA,COCO,8808069.185172766,8899925.609664803,9069776.274906855,9323269.689296251,9544334.917910362,207257.29566239408,232138.306134203,231293.19782403935,227543.2901064312,229657.7707358967,42.5,38.34,39.21,40.97,41.56,Cocoa butter,1 kg cocoa butter,1.6,68,61.34400000000001,62.736000000000004,65.552,66.49600000000001
BRA,COCO,8808069.185172766,8899925.609664803,9069776.274906855,9323269.689296251,9544334.917910362,207257.29566239408,232138.306134203,231293.19782403935,227543.2901064312,229657.7707358967,42.5,38.34,39.21,40.97,41.56,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,34,30.672000000000004,31.368000000000002,32.776,33.248000000000005
BRA,COCO,8808069.185172766,8899925.609664803,9069776.274906855,9323269.689296251,9544334.917910362,207257.29566239408,232138.306134203,231293.19782403935,227543.2901064312,229657.7707358967,42.5,38.34,39.21,40.97,41.56,Cocoa powder,1 kg cocoa powder,0.8,34,30.672000000000004,31.368000000000002,32.776,33.248000000000005
BRA,COCO,8808069.185172766,8899925.609664803,9069776.274906855,9323269.689296251,9544334.917910362,207257.29566239408,232138.306134203,231293.19782403935,227543.2901064312,229657.7707358967,42.5,38.34,39.21,40.97,41.56,Cocoa beans,1 kg cocoa bean,1,42.5,38.34,39.21,40.97,41.56
BRN,COCO,22.1858603443393,15.545581120297008,10.915630145452845,7.430994573797318,4.989688713854982,0.26906403336178764,0.2046563539876487,0.18788749071864205,0.10251873225824489,0.13558616840366824,82.46,75.96,58.1,72.48,36.8,Cocoa liquor,1 kg cocoa liquor,1.2,98.95199999999998,91.15199999999999,69.72,86.976,44.16
BRN,COCO,22.1858603443393,15.545581120297008,10.915630145452845,7.430994573797318,4.989688713854982,0.26906403336178764,0.2046563539876487,0.18788749071864205,0.10251873225824489,0.13558616840366824,82.46,75.96,58.1,72.48,36.8,Cocoa butter,1 kg cocoa butter,1.6,131.936,121.536,92.96000000000001,115.96800000000002,58.879999999999995
BRN,COCO,22.1858603443393,15.545581120297008,10.915630145452845,7.430994573797318,4.989688713854982,0.26906403336178764,0.2046563539876487,0.18788749071864205,0.10251873225824489,0.13558616840366824,82.46,75.96,58.1,72.48,36.8,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,65.968,60.768,46.480000000000004,57.98400000000001,29.439999999999998
BRN,COCO,22.1858603443393,15.545581120297008,10.915630145452845,7.430994573797318,4.989688713854982,0.26906403336178764,0.2046563539876487,0.18788749071864205,0.10251873225824489,0.13558616840366824,82.46,75.96,58.1,72.48,36.8,Cocoa powder,1 kg cocoa powder,0.8,65.968,60.768,46.480000000000004,57.98400000000001,29.439999999999998
BRN,COCO,22.1858603443393,15.545581120297008,10.915630145452845,7.430994573797318,4.989688713854982,0.26906403336178764,0.2046563539876487,0.18788749071864205,0.10251873225824489,0.13558616840366824,82.46,75.96,58.1,72.48,36.8,Cocoa beans,1 kg cocoa bean,1,82.46,75.96,58.1,72.48,36.8
CAF,COCO,105229.11315956117,122957.18784739712,129089.7934759466,135769.55082324948,139522.94564741774,166.758094917561,172.27827324229474,172.94493365751026,173.7891341907631,173.82077530068685,631,713.7,746.4,781.2,802.7,Cocoa liquor,1 kg cocoa liquor,1.2,757.1999999999999,856.44,895.68,937.44,963.24
CAF,COCO,105229.11315956117,122957.18784739712,129089.7934759466,135769.55082324948,139522.94564741774,166.758094917561,172.27827324229474,172.94493365751026,173.7891341907631,173.82077530068685,631,713.7,746.4,781.2,802.7,Cocoa butter,1 kg cocoa butter,1.6,1009.6,1141.92,1194.24,1249.92,1284.3200000000002
CAF,COCO,105229.11315956117,122957.18784739712,129089.7934759466,135769.55082324948,139522.94564741774,166.758094917561,172.27827324229474,172.94493365751026,173.7891341907631,173.82077530068685,631,713.7,746.4,781.2,802.7,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,504.8,570.96,597.12,624.96,642.1600000000001
CAF,COCO,105229.11315956117,122957.18784739712,129089.7934759466,135769.55082324948,139522.94564741774,166.758094917561,172.27827324229474,172.94493365751026,173.7891341907631,173.82077530068685,631,713.7,746.4,781.2,802.7,Cocoa powder,1 kg cocoa powder,0.8,504.8,570.96,597.12,624.96,642.1600000000001
CAF,COCO,105229.11315956117,122957.18784739712,129089.7934759466,135769.55082324948,139522.94564741774,166.758094917561,172.27827324229474,172.94493365751026,173.7891341907631,173.82077530068685,631,713.7,746.4,781.2,802.7,Cocoa beans,1 kg cocoa bean,1,631,713.7,746.4,781.2,802.7
CIV,COCO,44892506.46633135,46442803.04540393,47569698.68774672,49221103.99771837,50183046.444691144,2051806.7170537112,2052722.740289501,2051379.7867686993,2051270.655374494,2051399.764556497,21.88,22.62,23.19,24,24.46,Cocoa liquor,1 kg cocoa liquor,1.2,26.255999999999997,27.144000000000002,27.828,28.799999999999997,29.352
CIV,COCO,44892506.46633135,46442803.04540393,47569698.68774672,49221103.99771837,50183046.444691144,2051806.7170537112,2052722.740289501,2051379.7867686993,2051270.655374494,2051399.764556497,21.88,22.62,23.19,24,24.46,Cocoa butter,1 kg cocoa butter,1.6,35.008,36.192,37.104000000000006,38.400000000000006,39.136
CIV,COCO,44892506.46633135,46442803.04540393,47569698.68774672,49221103.99771837,50183046.444691144,2051806.7170537112,2052722.740289501,2051379.7867686993,2051270.655374494,2051399.764556497,21.88,22.62,23.19,24,24.46,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,17.504,18.096,18.552000000000003,19.200000000000003,19.568
CIV,COCO,44892506.46633135,46442803.04540393,47569698.68774672,49221103.99771837,50183046.444691144,2051806.7170537112,2052722.740289501,2051379.7867686993,2051270.655374494,2051399.764556497,21.88,22.62,23.19,24,24.46,Cocoa powder,1 kg cocoa powder,0.8,17.504,18.096,18.552000000000003,19.200000000000003,19.568
CIV,COCO,44892506.46633135,46442803.04540393,47569698.68774672,49221103.99771837,50183046.444691144,2051806.7170537112,2052722.740289501,2051379.7867686993,2051270.655374494,2051399.764556497,21.88,22.62,23.19,24,24.46,Cocoa beans,1 kg cocoa bean,1,21.88,22.62,23.19,24,24.46
CMR,COCO,1042812.897161019,902071.8671179842,781567.3060128812,671176.0636017397,570228.7997361746,91237.5483900184,96054.35930965935,94427.93630657108,96322.1323001716,95723.88712175885,11.43,9.391,8.277,6.968,5.957,Cocoa liquor,1 kg cocoa liquor,1.2,13.716,11.2692,9.9324,8.3616,7.1484
CMR,COCO,1042812.897161019,902071.8671179842,781567.3060128812,671176.0636017397,570228.7997361746,91237.5483900184,96054.35930965935,94427.93630657108,96322.1323001716,95723.88712175885,11.43,9.391,8.277,6.968,5.957,Cocoa butter,1 kg cocoa butter,1.6,18.288,15.0256,13.2432,11.148800000000001,9.5312
CMR,COCO,1042812.897161019,902071.8671179842,781567.3060128812,671176.0636017397,570228.7997361746,91237.5483900184,96054.35930965935,94427.93630657108,96322.1323001716,95723.88712175885,11.43,9.391,8.277,6.968,5.957,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,9.144,7.5128,6.6216,5.574400000000001,4.7656
CMR,COCO,1042812.897161019,902071.8671179842,781567.3060128812,671176.0636017397,570228.7997361746,91237.5483900184,96054.35930965935,94427.93630657108,96322.1323001716,95723.88712175885,11.43,9.391,8.277,6.968,5.957,Cocoa powder,1 kg cocoa powder,0.8,9.144,7.5128,6.6216,5.574400000000001,4.7656
CMR,COCO,1042812.897161019,902071.8671179842,781567.3060128812,671176.0636017397,570228.7997361746,91237.5483900184,96054.35930965935,94427.93630657108,96322.1323001716,95723.88712175885,11.43,9.391,8.277,6.968,5.957,Cocoa beans,1 kg cocoa bean,1,11.43,9.391,8.277,6.968,5.957
COD,COCO,2063244.6110412376,2186025.8559254725,2282659.7156639234,2402251.1852099015,2526765.180266199,22293.682133848295,18297.815839556813,33786.40475563968,29587.722136972323,30871.340732642835,92.55,119.5,67.56,81.19,81.85,Cocoa liquor,1 kg cocoa liquor,1.2,111.05999999999999,143.4,81.072,97.428,98.21999999999998
COD,COCO,2063244.6110412376,2186025.8559254725,2282659.7156639234,2402251.1852099015,2526765.180266199,22293.682133848295,18297.815839556813,33786.40475563968,29587.722136972323,30871.340732642835,92.55,119.5,67.56,81.19,81.85,Cocoa butter,1 kg cocoa butter,1.6,148.08,191.20000000000002,108.096,129.904,130.96
COD,COCO,2063244.6110412376,2186025.8559254725,2282659.7156639234,2402251.1852099015,2526765.180266199,22293.682133848295,18297.815839556813,33786.40475563968,29587.722136972323,30871.340732642835,92.55,119.5,67.56,81.19,81.85,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,74.04,95.60000000000001,54.048,64.952,65.48
COD,COCO,2063244.6110412376,2186025.8559254725,2282659.7156639234,2402251.1852099015,2526765.180266199,22293.682133848295,18297.815839556813,33786.40475563968,29587.722136972323,30871.340732642835,92.55,119.5,67.56,81.19,81.85,Cocoa powder,1 kg cocoa powder,0.8,74.04,95.60000000000001,54.048,64.952,65.48
COD,COCO,2063244.6110412376,2186025.8559254725,2282659.7156639234,2402251.1852099015,2526765.180266199,22293.682133848295,18297.815839556813,33786.40475563968,29587.722136972323,30871.340732642835,92.55,119.5,67.56,81.19,81.85,Cocoa beans,1 kg cocoa bean,1,92.55,119.5,67.56,81.19,81.85
COG,COCO,935627.7754432294,1025589.9989147692,1073926.323842045,1155722.4897201275,1242310.0363637393,5731.2312917815725,12215.648910447551,7643.093114930215,7641.544536834873,8654.580347782665,163.3,83.96,140.5,151.2,143.5,Cocoa liquor,1 kg cocoa liquor,1.2,195.96,100.752,168.6,181.43999999999997,172.2
COG,COCO,935627.7754432294,1025589.9989147692,1073926.323842045,1155722.4897201275,1242310.0363637393,5731.2312917815725,12215.648910447551,7643.093114930215,7641.544536834873,8654.580347782665,163.3,83.96,140.5,151.2,143.5,Cocoa butter,1 kg cocoa butter,1.6,261.28000000000003,134.33599999999998,224.8,241.92,229.60000000000002
COG,COCO,935627.7754432294,1025589.9989147692,1073926.323842045,1155722.4897201275,1242310.0363637393,5731.2312917815725,12215.648910447551,7643.093114930215,7641.544536834873,8654.580347782665,163.3,83.96,140.5,151.2,143.5,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,130.64000000000001,67.16799999999999,112.4,120.96,114.80000000000001
COG,COCO,935627.7754432294,1025589.9989147692,1073926.323842045,1155722.4897201275,1242310.0363637393,5731.2312917815725,12215.648910447551,7643.093114930215,7641.544536834873,8654.580347782665,163.3,83.96,140.5,151.2,143.5,Cocoa powder,1 kg cocoa powder,0.8,130.64000000000001,67.16799999999999,112.4,120.96,114.80000000000001
COG,COCO,935627.7754432294,1025589.9989147692,1073926.323842045,1155722.4897201275,1242310.0363637393,5731.2312917815725,12215.648910447551,7643.093114930215,7641.544536834873,8654.580347782665,163.3,83.96,140.5,151.2,143.5,Cocoa beans,1 kg cocoa bean,1,163.3,83.96,140.5,151.2,143.5
COL,COCO,2394063.3399472157,2456879.2048384966,2509361.7266329424,2509279.634561899,2474016.5656167124,58350.58275046915,63516.767186750054,57195.79666620827,55060.423254927446,56293.528346022795,41.03,38.68,43.87,45.57,43.95,Cocoa liquor,1 kg cocoa liquor,1.2,49.236,46.416,52.644,54.684,52.74
COL,COCO,2394063.3399472157,2456879.2048384966,2509361.7266329424,2509279.634561899,2474016.5656167124,58350.58275046915,63516.767186750054,57195.79666620827,55060.423254927446,56293.528346022795,41.03,38.68,43.87,45.57,43.95,Cocoa butter,1 kg cocoa butter,1.6,65.64800000000001,61.888000000000005,70.192,72.912,70.32000000000001
COL,COCO,2394063.3399472157,2456879.2048384966,2509361.7266329424,2509279.634561899,2474016.5656167124,58350.58275046915,63516.767186750054,57195.79666620827,55060.423254927446,56293.528346022795,41.03,38.68,43.87,45.57,43.95,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,32.824000000000005,30.944000000000003,35.096,36.456,35.160000000000004
COL,COCO,2394063.3399472157,2456879.2048384966,2509361.7266329424,2509279.634561899,2474016.5656167124,58350.58275046915,63516.767186750054,57195.79666620827,55060.423254927446,56293.528346022795,41.03,38.68,43.87,45.57,43.95,Cocoa powder,1 kg cocoa powder,0.8,32.824000000000005,30.944000000000003,35.096,36.456,35.160000000000004
COL,COCO,2394063.3399472157,2456879.2048384966,2509361.7266329424,2509279.634561899,2474016.5656167124,58350.58275046915,63516.767186750054,57195.79666620827,55060.423254927446,56293.528346022795,41.03,38.68,43.87,45.57,43.95,Cocoa beans,1 kg cocoa bean,1,41.03,38.68,43.87,45.57,43.95
CRI,COCO,124797.5475091786,126489.16092709046,129347.92410573196,129424.62066429891,128342.1103999217,720.5481916164919,635.1845868647384,724.3031810523725,722.5527433975266,711.7221465319641,173.2,199.1,178.6,179.1,180.3,Cocoa liquor,1 kg cocoa liquor,1.2,207.83999999999997,238.92,214.32,214.92,216.36
CRI,COCO,124797.5475091786,126489.16092709046,129347.92410573196,129424.62066429891,128342.1103999217,720.5481916164919,635.1845868647384,724.3031810523725,722.5527433975266,711.7221465319641,173.2,199.1,178.6,179.1,180.3,Cocoa butter,1 kg cocoa butter,1.6,277.12,318.56,285.76,286.56,288.48
CRI,COCO,124797.5475091786,126489.16092709046,129347.92410573196,129424.62066429891,128342.1103999217,720.5481916164919,635.1845868647384,724.3031810523725,722.5527433975266,711.7221465319641,173.2,199.1,178.6,179.1,180.3,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,138.56,159.28,142.88,143.28,144.24
CRI,COCO,124797.5475091786,126489.16092709046,129347.92410573196,129424.62066429891,128342.1103999217,720.5481916164919,635.1845868647384,724.3031810523725,722.5527433975266,711.7221465319641,173.2,199.1,178.6,179.1,180.3,Cocoa powder,1 kg cocoa powder,0.8,138.56,159.28,142.88,143.28,144.24
CRI,COCO,124797.5475091786,126489.16092709046,129347.92410573196,129424.62066429891,128342.1103999217,720.5481916164919,635.1845868647384,724.3031810523725,722.5527433975266,711.7221465319641,173.2,199.1,178.6,179.1,180.3,Cocoa beans,1 kg cocoa bean,1,173.2,199.1,178.6,179.1,180.3
CUB,COCO,1924.1088268261333,1730.8255969294974,1542.3124918287076,1439.7011662091068,1281.789167529143,756.9870287993177,706.5852291646137,685.9444921713538,666.0429815727364,682.6426366760857,2.542,2.45,2.248,2.162,1.878,Cocoa liquor,1 kg cocoa liquor,1.2,3.0504,2.94,2.6976,2.5944,2.2535999999999996
CUB,COCO,1924.1088268261333,1730.8255969294974,1542.3124918287076,1439.7011662091068,1281.789167529143,756.9870287993177,706.5852291646137,685.9444921713538,666.0429815727364,682.6426366760857,2.542,2.45,2.248,2.162,1.878,Cocoa butter,1 kg cocoa butter,1.6,4.0672,3.9200000000000004,3.5968000000000004,3.4592,3.0048
CUB,COCO,1924.1088268261333,1730.8255969294974,1542.3124918287076,1439.7011662091068,1281.789167529143,756.9870287993177,706.5852291646137,685.9444921713538,666.0429815727364,682.6426366760857,2.542,2.45,2.248,2.162,1.878,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,2.0336,1.9600000000000002,1.7984000000000002,1.7296,1.5024
CUB,COCO,1924.1088268261333,1730.8255969294974,1542.3124918287076,1439.7011662091068,1281.789167529143,756.9870287993177,706.5852291646137,685.9444921713538,666.0429815727364,682.6426366760857,2.542,2.45,2.248,2.162,1.878,Cocoa powder,1 kg cocoa powder,0.8,2.0336,1.9600000000000002,1.7984000000000002,1.7296,1.5024
CUB,COCO,1924.1088268261333,1730.8255969294974,1542.3124918287076,1439.7011662091068,1281.789167529143,756.9870287993177,706.5852291646137,685.9444921713538,666.0429815727364,682.6426366760857,2.542,2.45,2.248,2.162,1.878,Cocoa beans,1 kg cocoa bean,1,2.542,2.45,2.248,2.162,1.878
DMA,COCO,29186.15654462493,27352.700879710137,25565.84975319447,23782.89219605755,22026.142801585105,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,257.1,240.9,225.2,209.5,194,Cocoa liquor,1 kg cocoa liquor,1.2,308.52000000000004,289.08,270.23999999999995,251.39999999999998,232.79999999999998
DMA,COCO,29186.15654462493,27352.700879710137,25565.84975319447,23782.89219605755,22026.142801585105,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,257.1,240.9,225.2,209.5,194,Cocoa butter,1 kg cocoa butter,1.6,411.36000000000007,385.44000000000005,360.32,335.20000000000005,310.40000000000003
DMA,COCO,29186.15654462493,27352.700879710137,25565.84975319447,23782.89219605755,22026.142801585105,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,257.1,240.9,225.2,209.5,194,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,205.68000000000004,192.72000000000003,180.16,167.60000000000002,155.20000000000002
DMA,COCO,29186.15654462493,27352.700879710137,25565.84975319447,23782.89219605755,22026.142801585105,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,113.53473728869646,257.1,240.9,225.2,209.5,194,Cocoa powder,1 kg cocoa powder,0.8,205.68000000000004,192.72000000000003,180.16,167.60000000000002,155.20000000000002
