GID_0,GID_1,GID_2,crop_type,COCO_LD_2020,COCO_LD_2021,COCO_LD_2022,COCO_LD_2023,COCO_LD_2024,COCO_production_2020,COCO_production_2021,COCO_production_2022,COCO_production_2023,COCO_production_2024,COCO_EF_2020,COCO_EF_2021,COCO_EF_2022,COCO_EF_2023,COCO_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
AGO,AGO.10_1,AGO.10.11_1,COCO,1.0346742485977554,1.3180762881261483,1.273689571615586,1.8695712765239385,2.1771408581660685,0.09300212071437444,0.0935770636738942,0.09369735315833272,0.09342619211714076,0.0935309431904366,11.13,14.09,13.59,20.01,23.28,Cocoa liquor,1 kg cocoa liquor,1.2,13.356,16.907999999999998,16.308,24.012,27.936
AGO,AGO.10_1,AGO.10.11_1,COCO,1.0346742485977554,1.3180762881261483,1.273689571615586,1.8695712765239385,2.1771408581660685,0.09300212071437444,0.0935770636738942,0.09369735315833272,0.09342619211714076,0.0935309431904366,11.13,14.09,13.59,20.01,23.28,Cocoa butter,1 kg cocoa butter,1.6,17.808000000000003,22.544,21.744,32.016000000000005,37.248000000000005
AGO,AGO.10_1,AGO.10.11_1,COCO,1.0346742485977554,1.3180762881261483,1.273689571615586,1.8695712765239385,2.1771408581660685,0.09300212071437444,0.0935770636738942,0.09369735315833272,0.09342619211714076,0.0935309431904366,11.13,14.09,13.59,20.01,23.28,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,8.904000000000002,11.272,10.872,16.008000000000003,18.624000000000002
AGO,AGO.10_1,AGO.10.11_1,COCO,1.0346742485977554,1.3180762881261483,1.273689571615586,1.8695712765239385,2.1771408581660685,0.09300212071437444,0.0935770636738942,0.09369735315833272,0.09342619211714076,0.0935309431904366,11.13,14.09,13.59,20.01,23.28,Cocoa powder,1 kg cocoa powder,0.8,8.904000000000002,11.272,10.872,16.008000000000003,18.624000000000002
AGO,AGO.10_1,AGO.10.11_1,COCO,1.0346742485977554,1.3180762881261483,1.273689571615586,1.8695712765239385,2.1771408581660685,0.09300212071437444,0.0935770636738942,0.09369735315833272,0.09342619211714076,0.0935309431904366,11.13,14.09,13.59,20.01,23.28,Cocoa beans,1 kg cocoa bean,1,11.13,14.09,13.59,20.01,23.28
AGO,AGO.10_1,AGO.10.6_1,COCO,0.016146535453774,0.01427092884428826,0.01239532223480251,0.01051971562531676,0.008644109015831,0.00100248730560831,0.00100868472362351,0.00100998134654159,0.00100705845081101,0.0010081875822805,16.11,14.15,12.27,10.45,8.574,Cocoa liquor,1 kg cocoa liquor,1.2,19.331999999999997,16.98,14.723999999999998,12.54,10.2888
AGO,AGO.10_1,AGO.10.6_1,COCO,0.016146535453774,0.01427092884428826,0.01239532223480251,0.01051971562531676,0.008644109015831,0.00100248730560831,0.00100868472362351,0.00100998134654159,0.00100705845081101,0.0010081875822805,16.11,14.15,12.27,10.45,8.574,Cocoa butter,1 kg cocoa butter,1.6,25.776,22.64,19.632,16.72,13.7184
AGO,AGO.10_1,AGO.10.6_1,COCO,0.016146535453774,0.01427092884428826,0.01239532223480251,0.01051971562531676,0.008644109015831,0.00100248730560831,0.00100868472362351,0.00100998134654159,0.00100705845081101,0.0010081875822805,16.11,14.15,12.27,10.45,8.574,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,12.888,11.32,9.816,8.36,6.8592
AGO,AGO.10_1,AGO.10.6_1,COCO,0.016146535453774,0.01427092884428826,0.01239532223480251,0.01051971562531676,0.008644109015831,0.00100248730560831,0.00100868472362351,0.00100998134654159,0.00100705845081101,0.0010081875822805,16.11,14.15,12.27,10.45,8.574,Cocoa powder,1 kg cocoa powder,0.8,12.888,11.32,9.816,8.36,6.8592
AGO,AGO.10_1,AGO.10.6_1,COCO,0.016146535453774,0.01427092884428826,0.01239532223480251,0.01051971562531676,0.008644109015831,0.00100248730560831,0.00100868472362351,0.00100998134654159,0.00100705845081101,0.0010081875822805,16.11,14.15,12.27,10.45,8.574,Cocoa beans,1 kg cocoa bean,1,16.11,14.15,12.27,10.45,8.574
