GID_0,GID_1,crop_type,OILP_LD_2020,OILP_LD_2021,OILP_LD_2022,OILP_LD_2023,OILP_LD_2024,OILP_production_2020,OILP_production_2021,OILP_production_2022,OILP_production_2023,OILP_production_2024,OILP_EF_2020,OILP_EF_2021,OILP_EF_2022,OILP_EF_2023,OILP_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
AGO,AGO.10_1,OILP,284.5902864803275,388.6729032564947,394.6701154043193,560.1070692832773,647.1130726028531,374.1547156523546,373.14403437760416,373.4968470626339,373.84967303928073,373.5816458342749,0.7606,1.042,1.057,1.498,1.732,Palm oil,1 kg palm oil,6.7,5.09602,6.981400000000001,7.0819,10.0366,11.6044
AGO,AGO.10_1,OILP,284.5902864803275,388.6729032564947,394.6701154043193,560.1070692832773,647.1130726028531,374.1547156523546,373.14403437760416,373.4968470626339,373.84967303928073,373.5816458342749,0.7606,1.042,1.057,1.498,1.732,Magnesium stearate,1 kg magnesium stearate,6.7,5.09602,6.981400000000001,7.0819,10.0366,11.6044
AGO,AGO.10_1,OILP,284.5902864803275,388.6729032564947,394.6701154043193,560.1070692832773,647.1130726028531,374.1547156523546,373.14403437760416,373.4968470626339,373.84967303928073,373.5816458342749,0.7606,1.042,1.057,1.498,1.732,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,4.79178,6.5646,6.6591,9.4374,10.9116
AGO,AGO.10_1,OILP,284.5902864803275,388.6729032564947,394.6701154043193,560.1070692832773,647.1130726028531,374.1547156523546,373.14403437760416,373.4968470626339,373.84967303928073,373.5816458342749,0.7606,1.042,1.057,1.498,1.732,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,4.71572,6.460400000000001,6.5534,9.2876,10.7384
AGO,AGO.10_1,OILP,284.5902864803275,388.6729032564947,394.6701154043193,560.1070692832773,647.1130726028531,374.1547156523546,373.14403437760416,373.4968470626339,373.84967303928073,373.5816458342749,0.7606,1.042,1.057,1.498,1.732,Palm kernel oil,1 kg palm kernel oil,6.6,5.01996,6.8772,6.9761999999999995,9.8868,11.431199999999999
AGO,AGO.12_1,OILP,0,0,0,0,0,0.07722450217419854,0.07759362326918212,0.07923819484067103,0.080592448817562,0.07977864156966835,0,0,0,0,0,Palm oil,1 kg palm oil,6.7,0,0,0,0,0
AGO,AGO.12_1,OILP,0,0,0,0,0,0.07722450217419854,0.07759362326918212,0.07923819484067103,0.080592448817562,0.07977864156966835,0,0,0,0,0,Magnesium stearate,1 kg magnesium stearate,6.7,0,0,0,0,0
AGO,AGO.12_1,OILP,0,0,0,0,0,0.07722450217419854,0.07759362326918212,0.07923819484067103,0.080592448817562,0.07977864156966835,0,0,0,0,0,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,0,0,0,0,0
AGO,AGO.12_1,OILP,0,0,0,0,0,0.07722450217419854,0.07759362326918212,0.07923819484067103,0.080592448817562,0.07977864156966835,0,0,0,0,0,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,0,0,0,0,0
AGO,AGO.12_1,OILP,0,0,0,0,0,0.07722450217419854,0.07759362326918212,0.07923819484067103,0.080592448817562,0.07977864156966835,0,0,0,0,0,Palm kernel oil,1 kg palm kernel oil,6.6,0,0,0,0,0
AGO,AGO.17_1,OILP,236.5228269107544,301.72267410716574,292.402890737342,347.9355354695964,323.1631183207738,86.05348101237664,86.46480325135701,88.29739659305808,89.80648069985415,88.89963190727303,2.749,3.49,3.312,3.874,3.635,Palm oil,1 kg palm oil,6.7,18.418300000000002,23.383000000000003,22.1904,25.9558,24.354499999999998
AGO,AGO.17_1,OILP,236.5228269107544,301.72267410716574,292.402890737342,347.9355354695964,323.1631183207738,86.05348101237664,86.46480325135701,88.29739659305808,89.80648069985415,88.89963190727303,2.749,3.49,3.312,3.874,3.635,Magnesium stearate,1 kg magnesium stearate,6.7,18.418300000000002,23.383000000000003,22.1904,25.9558,24.354499999999998
AGO,AGO.17_1,OILP,236.5228269107544,301.72267410716574,292.402890737342,347.9355354695964,323.1631183207738,86.05348101237664,86.46480325135701,88.29739659305808,89.80648069985415,88.89963190727303,2.749,3.49,3.312,3.874,3.635,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,17.3187,21.987000000000002,20.865599999999997,24.4062,22.900499999999997
AGO,AGO.17_1,OILP,236.5228269107544,301.72267410716574,292.402890737342,347.9355354695964,323.1631183207738,86.05348101237664,86.46480325135701,88.29739659305808,89.80648069985415,88.89963190727303,2.749,3.49,3.312,3.874,3.635,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,17.0438,21.638,20.534399999999998,24.018800000000002,22.537
AGO,AGO.17_1,OILP,236.5228269107544,301.72267410716574,292.402890737342,347.9355354695964,323.1631183207738,86.05348101237664,86.46480325135701,88.29739659305808,89.80648069985415,88.89963190727303,2.749,3.49,3.312,3.874,3.635,Palm kernel oil,1 kg palm kernel oil,6.6,18.1434,23.034,21.859199999999998,25.5684,23.990999999999996
AGO,AGO.18_1,OILP,7.07631472154541,6.02396446248838,6.445146904803141,5.157457432696278,4.20250652401878,32.37494312375684,32.52969031045822,33.21914650105688,33.78689241385107,33.445718788609355,0.2186,0.1852,0.194,0.1526,0.1257,Palm oil,1 kg palm oil,6.7,1.46462,1.2408400000000002,1.2998,1.02242,0.8421900000000001
AGO,AGO.18_1,OILP,7.07631472154541,6.02396446248838,6.445146904803141,5.157457432696278,4.20250652401878,32.37494312375684,32.52969031045822,33.21914650105688,33.78689241385107,33.445718788609355,0.2186,0.1852,0.194,0.1526,0.1257,Magnesium stearate,1 kg magnesium stearate,6.7,1.46462,1.2408400000000002,1.2998,1.02242,0.8421900000000001
AGO,AGO.18_1,OILP,7.07631472154541,6.02396446248838,6.445146904803141,5.157457432696278,4.20250652401878,32.37494312375684,32.52969031045822,33.21914650105688,33.78689241385107,33.445718788609355,0.2186,0.1852,0.194,0.1526,0.1257,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,1.3771799999999998,1.16676,1.2222,0.96138,0.79191
AGO,AGO.18_1,OILP,7.07631472154541,6.02396446248838,6.445146904803141,5.157457432696278,4.20250652401878,32.37494312375684,32.52969031045822,33.21914650105688,33.78689241385107,33.445718788609355,0.2186,0.1852,0.194,0.1526,0.1257,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,1.3553199999999999,1.1482400000000001,1.2028,0.9461200000000001,0.77934
AGO,AGO.18_1,OILP,7.07631472154541,6.02396446248838,6.445146904803141,5.157457432696278,4.20250652401878,32.37494312375684,32.52969031045822,33.21914650105688,33.78689241385107,33.445718788609355,0.2186,0.1852,0.194,0.1526,0.1257,Palm kernel oil,1 kg palm kernel oil,6.6,1.4427599999999998,1.2223199999999999,1.2804,1.00716,0.82962
AGO,AGO.4_1,OILP,743.1210085605942,690.7702149426646,660.0018004820353,798.0503938921264,781.1167355046125,78.38944756385368,77.87940433785377,78.18850960354551,78.49761486923727,78.35911518134037,9.48,8.87,8.441,10.17,9.968,Palm oil,1 kg palm oil,6.7,63.516000000000005,59.428999999999995,56.554700000000004,68.139,66.7856
AGO,AGO.4_1,OILP,743.1210085605942,690.7702149426646,660.0018004820353,798.0503938921264,781.1167355046125,78.38944756385368,77.87940433785377,78.18850960354551,78.49761486923727,78.35911518134037,9.48,8.87,8.441,10.17,9.968,Magnesium stearate,1 kg magnesium stearate,6.7,63.516000000000005,59.428999999999995,56.554700000000004,68.139,66.7856
AGO,AGO.4_1,OILP,743.1210085605942,690.7702149426646,660.0018004820353,798.0503938921264,781.1167355046125,78.38944756385368,77.87940433785377,78.18850960354551,78.49761486923727,78.35911518134037,9.48,8.87,8.441,10.17,9.968,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,59.724000000000004,55.88099999999999,53.1783,64.071,62.7984
AGO,AGO.4_1,OILP,743.1210085605942,690.7702149426646,660.0018004820353,798.0503938921264,781.1167355046125,78.38944756385368,77.87940433785377,78.18850960354551,78.49761486923727,78.35911518134037,9.48,8.87,8.441,10.17,9.968,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,58.776,54.994,52.3342,63.054,61.8016
