GID_0,GID_1,GID_2,crop_type,OILP_LD_2020,OILP_LD_2021,OILP_LD_2022,OILP_LD_2023,OILP_LD_2024,OILP_production_2020,OILP_production_2021,OILP_production_2022,OILP_production_2023,OILP_production_2024,OILP_EF_2020,OILP_EF_2021,OILP_EF_2022,OILP_EF_2023,OILP_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
AGO,AGO.10_1,AGO.10.11_1,OILP,210.373251364027,290.2511251805182,302.33927788597737,443.5803799274428,520.6148719385923,271.0334264196306,270.3013003833834,270.5568738852199,270.8124570153529,270.6183011522636,0.7762,1.074,1.117,1.638,1.924,Palm oil,1 kg palm oil,6.7,5.20054,7.1958,7.4839,10.974599999999999,12.8908
AGO,AGO.10_1,AGO.10.11_1,OILP,210.373251364027,290.2511251805182,302.33927788597737,443.5803799274428,520.6148719385923,271.0334264196306,270.3013003833834,270.5568738852199,270.8124570153529,270.6183011522636,0.7762,1.074,1.117,1.638,1.924,Magnesium stearate,1 kg magnesium stearate,6.7,5.20054,7.1958,7.4839,10.974599999999999,12.8908
AGO,AGO.10_1,AGO.10.11_1,OILP,210.373251364027,290.2511251805182,302.33927788597737,443.5803799274428,520.6148719385923,271.0334264196306,270.3013003833834,270.5568738852199,270.8124570153529,270.6183011522636,0.7762,1.074,1.117,1.638,1.924,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,4.89006,6.7662,7.0371,10.3194,12.1212
AGO,AGO.10_1,AGO.10.11_1,OILP,210.373251364027,290.2511251805182,302.33927788597737,443.5803799274428,520.6148719385923,271.0334264196306,270.3013003833834,270.5568738852199,270.8124570153529,270.6183011522636,0.7762,1.074,1.117,1.638,1.924,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,4.8124400000000005,6.6588,6.9254,10.1556,11.9288
AGO,AGO.10_1,AGO.10.11_1,OILP,210.373251364027,290.2511251805182,302.33927788597737,443.5803799274428,520.6148719385923,271.0334264196306,270.3013003833834,270.5568738852199,270.8124570153529,270.6183011522636,0.7762,1.074,1.117,1.638,1.924,Palm kernel oil,1 kg palm kernel oil,6.6,5.12292,7.0884,7.372199999999999,10.810799999999999,12.6984
AGO,AGO.10_1,AGO.10.6_1,OILP,15.772985820426324,33.7651004489232,31.83425561116684,35.06045964090901,34.91951632314182,13.015611706969954,12.98045343024285,12.99272662291298,13.005000277954752,12.99567649321726,1.212,2.601,2.45,2.696,2.687,Palm oil,1 kg palm oil,6.7,8.1204,17.4267,16.415000000000003,18.063200000000002,18.0029
AGO,AGO.10_1,AGO.10.6_1,OILP,15.772985820426324,33.7651004489232,31.83425561116684,35.06045964090901,34.91951632314182,13.015611706969954,12.98045343024285,12.99272662291298,13.005000277954752,12.99567649321726,1.212,2.601,2.45,2.696,2.687,Magnesium stearate,1 kg magnesium stearate,6.7,8.1204,17.4267,16.415000000000003,18.063200000000002,18.0029
AGO,AGO.10_1,AGO.10.6_1,OILP,15.772985820426324,33.7651004489232,31.83425561116684,35.06045964090901,34.91951632314182,13.015611706969954,12.98045343024285,12.99272662291298,13.005000277954752,12.99567649321726,1.212,2.601,2.45,2.696,2.687,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,7.635599999999999,16.3863,15.435,16.9848,16.928099999999997
AGO,AGO.10_1,AGO.10.6_1,OILP,15.772985820426324,33.7651004489232,31.83425561116684,35.06045964090901,34.91951632314182,13.015611706969954,12.98045343024285,12.99272662291298,13.005000277954752,12.99567649321726,1.212,2.601,2.45,2.696,2.687,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,7.5144,16.1262,15.190000000000001,16.715200000000003,16.659399999999998
AGO,AGO.10_1,AGO.10.6_1,OILP,15.772985820426324,33.7651004489232,31.83425561116684,35.06045964090901,34.91951632314182,13.015611706969954,12.98045343024285,12.99272662291298,13.005000277954752,12.99567649321726,1.212,2.601,2.45,2.696,2.687,Palm kernel oil,1 kg palm kernel oil,6.6,7.999199999999999,17.1666,16.17,17.7936,17.734199999999998
