GID_0,crop_type,OILP_LD_2020,OILP_LD_2021,OILP_LD_2022,OILP_LD_2023,OILP_LD_2024,OILP_production_2020,OILP_production_2021,OILP_production_2022,OILP_production_2023,OILP_production_2024,OILP_EF_2020,OILP_EF_2021,OILP_EF_2022,OILP_EF_2023,OILP_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
AGO,OILP,15778.86219566656,16532.08510891929,15795.964747742995,17076.52257977758,17179.976189641697,73296.79454098384,73099.39064390617,73171.15367646428,73242.47379602127,73188.72105907298,0.2153,0.2262,0.2159,0.2332,0.2347,Palm oil,1 kg palm oil,6.7,1.44251,1.51554,1.44653,1.56244,1.57249
AGO,OILP,15778.86219566656,16532.08510891929,15795.964747742995,17076.52257977758,17179.976189641697,73296.79454098384,73099.39064390617,73171.15367646428,73242.47379602127,73188.72105907298,0.2153,0.2262,0.2159,0.2332,0.2347,Magnesium stearate,1 kg magnesium stearate,6.7,1.44251,1.51554,1.44653,1.56244,1.57249
AGO,OILP,15778.86219566656,16532.08510891929,15795.964747742995,17076.52257977758,17179.976189641697,73296.79454098384,73099.39064390617,73171.15367646428,73242.47379602127,73188.72105907298,0.2153,0.2262,0.2159,0.2332,0.2347,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,1.35639,1.42506,1.36017,1.4691599999999998,1.47861
AGO,OILP,15778.86219566656,16532.08510891929,15795.964747742995,17076.52257977758,17179.976189641697,73296.79454098384,73099.39064390617,73171.15367646428,73242.47379602127,73188.72105907298,0.2153,0.2262,0.2159,0.2332,0.2347,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,1.33486,1.4024400000000001,1.33858,1.44584,1.45514
AGO,OILP,15778.86219566656,16532.08510891929,15795.964747742995,17076.52257977758,17179.976189641697,73296.79454098384,73099.39064390617,73171.15367646428,73242.47379602127,73188.72105907298,0.2153,0.2262,0.2159,0.2332,0.2347,Palm kernel oil,1 kg palm kernel oil,6.6,1.42098,1.49292,1.4249399999999999,1.5391199999999998,1.5490199999999998
BDI,OILP,8452.174462539877,10060.67776290297,11026.161555550349,12019.523774759677,13606.345463641015,48807.00354797788,48106.835520519504,48055.534727851154,48004.686970496245,48047.18006043901,0.1732,0.2091,0.2294,0.2504,0.2832,Palm oil,1 kg palm oil,6.7,1.16044,1.40097,1.53698,1.67768,1.89744
BDI,OILP,8452.174462539877,10060.67776290297,11026.161555550349,12019.523774759677,13606.345463641015,48807.00354797788,48106.835520519504,48055.534727851154,48004.686970496245,48047.18006043901,0.1732,0.2091,0.2294,0.2504,0.2832,Magnesium stearate,1 kg magnesium stearate,6.7,1.16044,1.40097,1.53698,1.67768,1.89744
BDI,OILP,8452.174462539877,10060.67776290297,11026.161555550349,12019.523774759677,13606.345463641015,48807.00354797788,48106.835520519504,48055.534727851154,48004.686970496245,48047.18006043901,0.1732,0.2091,0.2294,0.2504,0.2832,Partially hydrogenated palm oil,1 kg partially hydrogenated palm oil,6.3,1.09116,1.3173300000000001,1.44522,1.57752,1.78416
BDI,OILP,8452.174462539877,10060.67776290297,11026.161555550349,12019.523774759677,13606.345463641015,48807.00354797788,48106.835520519504,48055.534727851154,48004.686970496245,48047.18006043901,0.1732,0.2091,0.2294,0.2504,0.2832,Partially hydrogenated palm kernel oil,1 kg partially hydrogenated palm kernel oil,6.2,1.07384,1.2964200000000001,1.42228,1.55248,1.75584
BDI,OILP,8452.174462539877,10060.67776290297,11026.161555550349,12019.523774759677,13606.345463641015,48807.00354797788,48106.835520519504,48055.534727851154,48004.686970496245,48047.18006043901,0.1732,0.2091,0.2294,0.2504,0.2832,Palm kernel oil,1 kg palm kernel oil,6.6,1.14312,1.38006,1.5140399999999998,1.6526399999999999,1.86912
