GID_0,GID_1,crop_type,COCO_LD_2020,COCO_LD_2021,COCO_LD_2022,COCO_LD_2023,COCO_LD_2024,COCO_production_2020,COCO_production_2021,COCO_production_2022,COCO_production_2023,COCO_production_2024,COCO_EF_2020,COCO_EF_2021,COCO_EF_2022,COCO_EF_2023,COCO_EF_2024,co_product,functional_unit,allocation_ratio,co_product_EF_2020,co_product_EF_2021,co_product_EF_2022,co_product_EF_2023,co_product_EF_2024
AGO,AGO.10_1,COCO,1.9223092026988773,1.9317719667396196,1.748661085997572,2.3126577066395977,2.576340774641774,0.11730503220032357,0.11803021676452236,0.11818193977618094,0.11783992010583189,0.11797204427602928,16.39,16.37,14.8,19.63,21.84,Cocoa liquor,1 kg cocoa liquor,1.2,19.668,19.644000000000002,17.76,23.555999999999997,26.208
AGO,AGO.10_1,COCO,1.9223092026988773,1.9317719667396196,1.748661085997572,2.3126577066395977,2.576340774641774,0.11730503220032357,0.11803021676452236,0.11818193977618094,0.11783992010583189,0.11797204427602928,16.39,16.37,14.8,19.63,21.84,Cocoa butter,1 kg cocoa butter,1.6,26.224000000000004,26.192000000000004,23.680000000000003,31.408,34.944
AGO,AGO.10_1,COCO,1.9223092026988773,1.9317719667396196,1.748661085997572,2.3126577066395977,2.576340774641774,0.11730503220032357,0.11803021676452236,0.11818193977618094,0.11783992010583189,0.11797204427602928,16.39,16.37,14.8,19.63,21.84,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,13.112000000000002,13.096000000000002,11.840000000000002,15.704,17.472
AGO,AGO.10_1,COCO,1.9223092026988773,1.9317719667396196,1.748661085997572,2.3126577066395977,2.576340774641774,0.11730503220032357,0.11803021676452236,0.11818193977618094,0.11783992010583189,0.11797204427602928,16.39,16.37,14.8,19.63,21.84,Cocoa powder,1 kg cocoa powder,0.8,13.112000000000002,13.096000000000002,11.840000000000002,15.704,17.472
AGO,AGO.10_1,COCO,1.9223092026988773,1.9317719667396196,1.748661085997572,2.3126577066395977,2.576340774641774,0.11730503220032357,0.11803021676452236,0.11818193977618094,0.11783992010583189,0.11797204427602928,16.39,16.37,14.8,19.63,21.84,Cocoa beans,1 kg cocoa bean,1,16.39,16.37,14.8,19.63,21.84
AGO,AGO.11_1,COCO,0.01600958441877507,0.01482368927664358,0.01363779413451209,0.01245189899238061,0.01126600385024912,0.0066861428038241,0.00672747681537001,0.00673612471140266,0.00671663030170193,0.00672416110454309,2.394,2.203,2.025,1.854,1.675,Cocoa liquor,1 kg cocoa liquor,1.2,2.8728000000000002,2.6435999999999997,2.4299999999999997,2.2248,2.01
AGO,AGO.11_1,COCO,0.01600958441877507,0.01482368927664358,0.01363779413451209,0.01245189899238061,0.01126600385024912,0.0066861428038241,0.00672747681537001,0.00673612471140266,0.00671663030170193,0.00672416110454309,2.394,2.203,2.025,1.854,1.675,Cocoa butter,1 kg cocoa butter,1.6,3.8304000000000005,3.5248,3.24,2.9664,2.68
AGO,AGO.11_1,COCO,0.01600958441877507,0.01482368927664358,0.01363779413451209,0.01245189899238061,0.01126600385024912,0.0066861428038241,0.00672747681537001,0.00673612471140266,0.00671663030170193,0.00672416110454309,2.394,2.203,2.025,1.854,1.675,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,1.9152000000000002,1.7624,1.62,1.4832,1.34
AGO,AGO.11_1,COCO,0.01600958441877507,0.01482368927664358,0.01363779413451209,0.01245189899238061,0.01126600385024912,0.0066861428038241,0.00672747681537001,0.00673612471140266,0.00671663030170193,0.00672416110454309,2.394,2.203,2.025,1.854,1.675,Cocoa powder,1 kg cocoa powder,0.8,1.9152000000000002,1.7624,1.62,1.4832,1.34
AGO,AGO.11_1,COCO,0.01600958441877507,0.01482368927664358,0.01363779413451209,0.01245189899238061,0.01126600385024912,0.0066861428038241,0.00672747681537001,0.00673612471140266,0.00671663030170193,0.00672416110454309,2.394,2.203,2.025,1.854,1.675,Cocoa beans,1 kg cocoa bean,1,2.394,2.203,2.025,1.854,1.675
AGO,AGO.12_1,COCO,62.135125373370705,41.91526296456913,24.25549109867521,11.518650566432004,3.535926036055912,0.00230520902012532,0.00188183900720258,0.00350109582735365,0.00306345884893444,0.00319618019845727,26950,22270,6928,3760,1106,Cocoa liquor,1 kg cocoa liquor,1.2,32340,26724,8313.6,4512,1327.2
AGO,AGO.12_1,COCO,62.135125373370705,41.91526296456913,24.25549109867521,11.518650566432004,3.535926036055912,0.00230520902012532,0.00188183900720258,0.00350109582735365,0.00306345884893444,0.00319618019845727,26950,22270,6928,3760,1106,Cocoa butter,1 kg cocoa butter,1.6,43120,35632,11084.800000000001,6016,1769.6000000000001
AGO,AGO.12_1,COCO,62.135125373370705,41.91526296456913,24.25549109867521,11.518650566432004,3.535926036055912,0.00230520902012532,0.00188183900720258,0.00350109582735365,0.00306345884893444,0.00319618019845727,26950,22270,6928,3760,1106,Dutch cocoa powder (alkali),1 kg Dutch cocoa powder,0.8,21560,17816,5542.4000000000005,3008,884.8000000000001
