GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,GROU,0.001668650257416703,0.001301150607986979,9.92015143211444e-4,7.032643351315035e-4,4.329028984173359e-4,2.4738001456514505e-4,6.264056363516653,6.338084215449473,6.245959656206579,6.282698563134491,6.288917175443002,6.281708400650026,2.664e-4,2.053e-4,1.588e-4,1.119e-4,6.884e-5,3.938e-5
AGO,GROU,1341.7825333998544,1346.0402277374878,1290.8339868314192,1230.7370529839825,1153.8119940382871,1056.6242168907245,23499.018556956515,23334.20469415118,23738.484492741944,24503.4827135262,26107.89376279728,25541.517345267603,0.0571,0.05769,0.05438,0.05023,0.04419,0.04137
ARG,GROU,412.1301227528024,390.37404633088744,369.9090721195496,330.83975662059265,295.1748430137098,251.34920981131307,190348.02002586552,187663.1520940264,199339.7370085667,142585.8722334631,219566.9060748134,196763.69940429027,0.002165,0.00208,0.001856,0.00232,0.001344,0.001277
ARM,GROU,0.00257580624336553,0.00230246007499606,0.00202911390662658,0.00175576773825711,0.00148242156988763,0.00120907540151816,6.899299422055066,6.899299422055066,6.899299422055066,6.899299422055066,6.899299422055066,6.899299422055066,3.733e-4,3.337e-4,2.941e-4,2.545e-4,2.149e-4,1.752e-4
AUS,GROU,128.8307436323173,132.05099052824772,124.05569262831018,118.12097469186241,110.40107542778308,104.78306625741521,1113.4496365002676,1446.5127895857659,1784.1916975280287,1350.015170724999,1223.936231703247,1396.756906502657,0.1157,0.09129,0.06953,0.0875,0.0902,0.07502
AZE,GROU,1.7157259514519315e-4,1.1563786415705402e-4,6.969821460805265e-5,3.3753646498189056e-5,1.1238567217191666e-5,6.217502563188497e-6,0.7728470337370326,0.7728470337370326,0.7728470337370326,0.7728470337370326,0.7728470337370326,0.7728470337370326,2.22e-4,1.496e-4,9.018e-5,4.367e-5,1.454e-5,8.045e-6
BDI,GROU,5.120316348071117,4.349898079832816,3.655994455314295,3.0692726782962905,2.5333204914119714,2.0275363317309267,1751.517814597477,3887.0124207682597,4592.4292193045485,3237.6539011792834,3041.012331221485,3504.4772183576183,0.002923,0.001119,7.961e-4,9.48e-4,8.331e-4,5.786e-4
BEN,GROU,153.8068176617318,136.7718509434466,122.11935925203493,107.99505891263482,92.63729343076457,77.20859855052886,91537.60230432835,94301.99008365057,86907.586726095193,94878.99081833524,117143.7401747625,109834.61980789526,0.00168,0.00145,0.001405,0.001138,7.908e-4,7.03e-4
BFA,GROU,195.02552158175672,170.7592500340321,146.45305305876192,122.1866597054172,97.9797965884591,73.75741464010676,41490.24860751332,31515.621715993286,36873.29445139836,44883.141463142594,40271.607401008005,41211.64447294611,0.004701,0.005418,0.003972,0.002722,0.002433,0.00179
BGD,GROU,67.69824921566898,58.35972049926918,49.23178670759731,40.21687012111115,31.251295373207572,22.36660348190274,2499.461699118048,2763.476728768188,3091.1530244083583,2782.1404689920937,3119.2787204119736,3024.32896878635,0.02709,0.02112,0.01593,0.01446,0.01002,0.007396
BGR,GROU,0.003513830748949912,0.003190378806908352,0.004190369193486277,0.005341702789369102,0.006005526012367857,0.005628570674753046,1.738153204587769,1.738153204587769,1.738153204587769,1.738153204587769,1.738153204587769,1.738153204587769,0.002022,0.001835,0.002411,0.003073,0.003455,0.003238
BLZ,GROU,13.343530037972144,12.528754595431865,11.639112786076103,11.759217722686648,12.3277459428494,11.78336727526456,73.49825473323214,76.20935170117883,183.3973316707485,201.11801335804438,182.6243549758888,186.91287239931503,0.1815,0.1644,0.06346,0.05847,0.0675,0.06304
BOL,GROU,874.9289616565771,830.6587970862008,824.8163956069965,794.1329048314675,752.2815418772543,700.3894642345049,19524.238276532153,19524.911321344774,19524.616000466234,19525.035928476373,19524.40478515145,19524.621522705485,0.04481,0.04254,0.04224,0.04067,0.03853,0.03587
